ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
Y92.SI,ThaiBev,Consumer Defensive,11811328838.769999,11.75,10.542034,2.059325,5.31,1.513,107.095,0.14257,0.04976638687765895,0.075430006,0.01,0.082,24979152896.0,279912972288.0,52563189760.0,41046721000.0,333286188000.0,242405113856.0,52043268096.0,0.22823013,509591023000.0,131590209000.0,,88655538000.0,25360504000.0,46033071000.0,0.3105683215411255,,25130486891.0,0.05158451496456161,0.3032955985337737,1.484286396186553,1.3342114686528241,0.46203769566796316,0.45752589473327315,0.6540268037649478,0.6449836740885804,25127674910.0,8475462000.0,0.47,[],{'market_cap': 'derived'},2.1148469606575837,5.325266095266742,6.81937473855707,0.14664101011284103,0.0851063829787234,,0.09751309277239956,1.0,20,20,0.75,13.0,22.0,0.6421772727272729,0.6421772727272729,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.67235,True,0.9,0.8,strong_buy,4,3,stable,0.6781,building
J36.SI,Jardine Matheson Holdings Limited,Industrials,18314106880.0,16.44855,10.573665,0.64272684,3.85,1.254,33.284,0.06564,0.012874988390452308,0.033970002,-0.068,0.014,3736624896.0,52409958400.0,4022500096.0,3544000000.0,34217000000.0,17632999424.0,8012000256.0,96.993,86136000000.0,23635000000.0,,15488000000.0,1109000000.0,5309000000.0,0.27527252535289476,,295700092.0,-0.005393009829567062,0.27622348304871575,1.5260201446280992,1.185435615126855,0.21072490015788986,0.223579437421496,0.397243893377914,0.41230021088051255,291940063.0,664000000.0,62.34,[],{},0.20402987273600534,13.029200037090565,14.788362979683972,0.06762073674914422,0.06079563244176538,,0.05016419431547956,1.0,20,20,0.7166666666666667,8.0,22.0,0.6217636363636364,0.6217636363636364,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,dividend,garp,risk",0.630545,True,1.0,0.775,strong_buy,4,3,stable,0.5221,building
BUOU.SI,Frasers Logistics & Commercial Trust,Real Estate,3675307520.0,16.083334,17.285006,0.8593054,6.11,0.322,57.116,0.051880002,0.02793773818661161,0.44541,0.028,0.089,216070128.0,6122581504.0,303385984.0,295154000.0,471486000.0,2487558912.0,120709000.0,1.123,7340358000.0,345484000.0,,608649000.0,205073000.0,302264000.0,0.7186830573972504,,3778192510.0,0.020670785737865432,0.7189337189986433,0.567624361495706,0.2667191505984515,0.3600775330031587,0.3380657440978444,0.06423201702151311,0.06258669749991733,3757817912.0,99502000.0,0.965,[],{},0.05878967319719684,20.180831768418148,20.74368466630979,0.0482074431850634,0.06217616322585852,,0.04384532961837774,1.0,20,20,0.6291666666666668,7.0,22.0,0.6010454545454545,0.6010454545454545,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6735933333333334,True,0.8,0.6562,buy,3,3,stable,0.5623,building
U14.SI,UOL Group Limited,Real Estate,7863809024.0,14.967741,15.339096,0.6666666,1.94,1.691,33.02,0.04265,0.021429459529251987,0.16934,-0.074,,595660480.0,16925022208.0,,811940000.0,3234085000.0,5518458880.0,1129581952.0,13.92,22479755000.0,4005448000.0,,1688868000.0,481729000.0,1291974000.0,0.3945981630043737,,845942732.0,0.01568497128089356,0.3988275933137825,2.3716761759948084,4.079051751183911,0.20687427420805965,0.2282134091451591,0.14386655904390416,0.12238310670987118,844935232.0,173613000.0,9.28,[],{},0.07574706839676172,,20.845163691898417,0.047972758323248633,0.06681034900323302,,0.03905268688151689,0.95,19,20,0.6342592592592593,6.0,22.0,0.5604181818181818,0.5604181818181818,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,dividend,risk",0.53308,True,1.0,0.6324,buy,3,11,stable,0.4813,persistent
N2IU.SI,Mapletree Pan Asia Commercial Trust,Real Estate,6768407040.0,25.599998,16.268429,0.73860353,6.19,0.261,62.336,0.027290002,0.016938458847507453,0.29384002,-0.058,-0.114,358378624.0,12356699136.0,605572992.0,604105000.0,807706000.0,5716341248.0,134867008.0,1.733,15424898000.0,286012000.0,,734172000.0,261274000.0,586003000.0,0.6788200161940112,,5281156140.0,0.03619100626102469,0.6779189692156891,0.3895708362618024,0.29639536327580035,0.3602452346848582,0.3715341973076163,0.052363782243487124,0.05233159251120412,5267580260.0,165950000.0,1.28,[],{},0.05294873991502733,20.404970662892442,20.454555310748958,0.04888886533135705,0.039062503051758055,,0.04112152115559163,1.0,20,20,0.5416666666666667,5.0,22.0,0.520290909090909,0.520290909090909,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.586895,True,0.8,0.6083,buy,3,1,improving,0.3594,new
BS6.SI,YZJ Shipbldg SGD,Industrials,18182421180.0,9.829787,7.9849653,2.8840055,4.33,1.66,12.377,0.32096002,0.14806285620079196,0.29624,0.362,0.287,-827909632.0,6494711296.0,11217166336.0,9061633000.0,28504820000.0,4124999936.0,15922935808.0,1.6019386,58333847000.0,43275580000.0,,24540409000.0,8637076000.0,4464550000.0,0.34243236757853585,,3935589000.0,0.12159206104883348,0.2866486477362654,1.7634416769500458,1.6936491297655136,0.0945763100451784,0.1246418265893093,0.4886497542327356,0.4865011710374553,3950589220.0,115420000.0,4.62,[],{'market_cap': 'derived'},-0.04553351964537431,0.5789975027076214,0.7167263666493666,1.3952326111217492,0.10173160415378278,,0.268147709623389,1.0,20,20,0.6,14.0,22.0,0.710281818181818,0.710281818181818,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7586333333333334,True,0.66665,0.6,buy,3,11,stable,0.6,persistent
ME8U.SI,Mapletree Industrial Trust,Real Estate,5453056512.0,27.285713,15.855885,1.1724985,6.57,0.194,53.535,0.041989997,0.027888029673600222,0.32109,-0.083,-0.116,730661504.0,8010927616.0,427620000.0,439048000.0,643852000.0,2651019008.0,95700000.0,1.629,7938639000.0,120039000.0,,528712000.0,221393000.0,433643000.0,0.6407994383802489,,2854187030.0,0.03922174006124409,0.6453553420980762,0.22704043032879903,0.18830238319410778,0.296494273136743,0.3713552516330318,0.081103574554782,0.07739168536700773,2850935273.0,119006000.0,1.91,[],{},0.1339911850156157,18.73375336981432,18.246131666697035,0.05480613744694207,0.03664921638661229,,0.05925132595773211,1.0,20,20,0.5208333333333334,6.0,22.0,0.5405636363636362,0.5405636363636362,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.607275,True,0.8,0.5917,buy,3,1,improving,0.3477,new
U11.SI,UOB,Financial Services,69006868480.0,14.513888,11.596068,1.3939838,4.21,,,0.09224,0.008184441868961527,0.40361,0.062,0.113,,44636868608.0,,,13807000000.0,54976000000.0,83042000896.0,29.986,572061000000.0,,,,4682000000.0,1318000000.0,,,1652170000.0,0.011243081180811808,,,,0.07912268097283331,0.07869040887989526,0.024135537993325885,0.026602115819545292,1671526374.0,11321000000.0,41.8,[],{},,,,,0.06889952575078435,,,0.7,14,20,0.7500000000000001,4.0,22.0,0.43879090909090906,0.43879090909090906,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.4742,False,0.36665000000000003,0.8462,hold,2,11,stable,0.3352,persistent
C6L.SI,Singapore Airlines Limited,Industrials,22232756224.0,23.5,18.747507,1.2869661,6.24,0.968,60.214,0.072459996,0.02727312514540676,0.057690002,0.08,-0.535,326862496.0,23045134336.0,4342300160.0,2462700000.0,20522000000.0,10649400320.0,10242299904.0,5.478,43412700000.0,13441000000.0,,13890100000.0,1184000000.0,5103000000.0,0.30781112951954,,3150884286.0,0.06447450263189654,0.2859087605809681,0.9676676193835898,0.8166190138372351,0.24519783381360755,0.29972752675993575,0.4727188126976668,0.4534985192680821,2973272881.0,317400000.0,7.05,[],{},0.014701843204089817,5.307126059199003,9.357670173386934,0.10686420673855168,0.0425531914893617,,0.08341744968261602,1.0,20,20,0.6083333333333334,7.0,22.0,0.5099454545454546,0.5099454545454546,0.3181818181818182,0.0,0.9588,0.3181818181818182,22.0,4,5,"cheapness,quality,dividend,garp",0.5866983333333333,False,0.73335,0.6583,hold,2,11,stable,0.5067,persistent
H78.SI,Hongkong Land Holdings Limited,Real Estate,18478858240.0,8.179246,27.992123,0.59286106,3.11,2.015,19.321,0.07534,0.03153974047242208,1.73109,-0.158,4.84,1333224960.0,21683986432.0,331600000.0,310400000.0,1448300000.0,6070799872.0,3030400000.0,14.624,40057400000.0,6795700000.0,,1834800000.0,1263400000.0,584400000.0,0.3416419250155355,,2158869126.0,-0.035462609212237914,0.36796363817991107,3.7037824286025725,1.5031243935571512,0.1533224822379885,0.1578724995134742,0.036155616690049776,0.05126701559955342,2206621826.0,203500000.0,8.67,[],{},0.0721486653928679,65.39199768395657,69.85820371134021,0.014314711041412995,0.1222606582562745,,0.008120849968343336,1.0,20,20,0.7041666666666666,10.0,22.0,0.6750181818181819,0.6750181818181819,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,3,5,"cheapness,dividend,garp",0.716355,False,0.63335,0.6521,hold,2,11,stable,0.4069,persistent
