ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
OTEX.TO,Open Text Corporation,Technology,7658424320.0,10.882758,5.000523,1.3533713,4.93,0.94,161.833,0.1276,0.031644110264044,0.09912,0.022,0.99,836536896.0,12816499712.0,1568054016.0,1038579000.0,5168405000.0,6415261184.0,1259085952.0,23.319544,13774064000.0,2201458000.0,,2747054000.0,435868000.0,830618000.0,0.7225221320697585,,254784391.0,0.0327396587864299,0.7264012595724089,0.8013886876632204,0.8131868877419484,0.4823401430398464,0.4707553802144448,0.3752273112713866,0.4061450091853928,267800517.0,377389000.0,31.56,[],{},0.1092309411239308,8.173506512673605,12.34041869901086,0.081034527627507,0.0918884716539685,,0.094185005726847,1.0,20,20,0.81,13.0,22.0,0.6705181818181818,0.6705181818181818,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7554366666666666,True,0.8,0.8633,strong_buy,4,1,improving,0.5229,new,neutral,0.625,49.01057512556642
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,10462600192.0,16.448305,12.527932,1.7951056,3.62,1.743,159.236,0.108260006,0.0244338387543059,0.03628,0.033,2.026,1843137536.0,22219200512.0,1763299968.0,1403000000.0,16315500000.0,10820700160.0,31100000.0,110.779,21539800000.0,11316300000.0,,6196500000.0,526300000.0,952100000.0,0.3441696546229046,,52947897.0,0.0399134915424943,0.3351894818252127,1.826240619704672,1.7911891908956026,0.3560618018737407,0.3554310585146084,0.7574582865207662,0.697643049198313,55621189.0,329700000.0,198.86,[],{},0.1761643857336071,12.600919250966603,15.836921248752672,0.0631435860728776,0.06079653800194,,0.0914405636336381,1.0,20,20,0.8083333333333335,11.0,22.0,0.5730636363636363,0.5730636363636363,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6970083333333333,True,0.8,0.85,strong_buy,4,1,improving,0.5182,new,neutral,0.5,61.01799681857306
WSP.TO,WSP Global Inc.,Industrials,21724352512.0,21.98363,12.235309,2.1647253,0.93,1.189,87.041,0.10462,0.0462715930902111,0.052270003,0.037,-0.028,1707637504.0,29845553152.0,2202500096.0,1773400000.0,18285000000.0,8734600192.0,612800000.0,74.439,20840000000.0,7430800000.0,,5863400000.0,964300000.0,2246000000.0,0.7634181022696199,,134806772.0,0.0337340092676937,0.7529133780339956,1.267319302793601,1.1159957964460865,0.2334213051823416,0.2867242267020476,0.8773992322456814,0.800368331419066,130479453.0,303800000.0,161.14,[],{},0.0786047594770312,13.550761339898711,16.829566455396414,0.0594192371295072,0.0454883929542118,,0.1184113884326215,1.0,20,20,0.7766666666666666,8.0,22.0,0.4772227272727272,0.4772227272727272,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5312283333333333,True,0.9,0.8133,strong_buy,4,1,improving,0.4969,new,neutral,0.5,30.81338049926623
ABX.TO,Barrick Mining Corporation,Basic Materials,87696105472.0,10.123791,8.3602295,2.2771766,1.87,3.064,12.852,0.25176,0.0968067161719371,0.32141,0.667,2.542,5272124928.0,94725103616.0,11736000512.0,8005000000.0,16956000000.0,4726000128.0,7130999808.0,22.984604,51577000000.0,10217000000.0,,3497000000.0,4993000000.0,7689000000.0,0.5125619249823071,,1675360395.0,0.0450174274555914,0.383918898003405,2.9216471261080925,2.888720666161998,0.1010334063633014,0.1103598874564313,0.3287511875448359,0.271322386931508,1727100407.0,358000000.0,52.34,[],{},0.0601181192668049,8.071327495184077,11.833242175640224,0.0845076932557493,0.0987772268313322,,0.1664933444259567,1.0,20,20,0.782142857142857,17.0,22.0,0.7797909090909091,0.7797909090909091,0.7727272727272727,0.0,1.0,0.7727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8609983333333334,True,1.0,0.7804,strong_buy,4,13,stable,0.7813,persistent,neutral,0.625,49.11399260547016
SU.TO,Suncor Energy Inc.,Energy,109632192512.0,17.65209,11.9673195,2.4019558,2.58,1.417,32.358,0.1397,0.065819180763627,0.12394,0.175,0.299,6675874816.0,121173188608.0,15589999616.0,7995000000.0,52377000000.0,14812000256.0,3271000064.0,38.656,89913000000.0,14229000000.0,,10210000000.0,5918000000.0,12781000000.0,0.4138075872997689,,1193519494.0,0.0670052570613917,0.4077185182485742,1.393633692458374,1.329487298781055,0.1613114899958849,0.1636037601354361,0.58252977878616,0.6112559030562238,1244331601.0,743000000.0,92.85,[],{},0.0608933805211391,7.772494649944704,15.156121151719825,0.0659799423605508,0.0566505156046677,,0.1003099005056271,1.0,20,20,0.7444444444444444,11.0,22.0,0.6555636363636365,0.6555636363636365,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7476,True,1.0,0.7444,strong_buy,4,13,stable,0.7444,persistent,wait,0.25,71.46790046133911
CVE.TO,Cenovus Energy Inc.,Energy,77017022464.0,16.454184,12.149345,2.3769784,2.13,1.566,42.271,0.14832,0.0619639253279515,0.09519,-0.071,0.78,3668375040.0,88486035456.0,10682999808.0,4627000000.0,52751000000.0,13752000512.0,2575000064.0,17.375,63424000000.0,9890000000.0,,6314000000.0,3930000000.0,8228000000.0,0.2239957536350021,,1883400091.0,0.0555722598560285,0.2211308595780064,1.5663604687994932,1.417277913610432,0.2240003784056508,0.1880825624789968,0.8317198536831484,1.0209943578768637,1823038000.0,661000000.0,41.3,[],{},0.047630704520091,8.28288280879093,19.12384600302572,0.0522907369073032,0.0607748156942939,,0.0810190859744353,1.0,20,20,0.7541666666666667,8.0,22.0,0.6115272727272727,0.6115272727272727,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7468833333333333,True,1.0,0.7313,strong_buy,4,13,stable,0.7427,persistent,neutral,0.375,65.31707488109444
SAP.TO,Saputo Inc.,Consumer Defensive,15997923328.0,23.922157,16.864439,2.3781178,2.0,1.71,48.082,0.10012999,0.0493899750110245,0.03829,,,964124992.0,18825924608.0,1658000000.0,1041000000.0,17551000000.0,3272000000.0,444000000.0,16.799,13606000000.0,5226000000.0,,3056000000.0,672000000.0,1508000000.0,0.330237593299527,,405086701.0,-0.0126500395313735,0.3067594879856277,1.7100785340314135,1.516239850093691,0.2404821402322504,0.2583195572486164,1.289945612229899,1.28024150075469,418335124.0,112000000.0,39.95,[],{},0.0602656339971677,11.35459867792521,18.08446167915466,0.0552960888602322,0.0418022505244823,,0.0986729857819905,1.0,20,20,0.6600000000000001,8.0,22.0,0.4839409090909091,0.4839409090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,4,5,"cheapness,quality,dividend,risk",0.5061866666666667,True,1.0,0.73,buy,3,13,stable,0.556,persistent,neutral,0.5,39.65757154864411
GIB-A.TO,CGI Inc.,Technology,19599622144.0,12.218016,9.672385,1.9670027,0.73,0.945,44.158,0.16622,0.0849451700937023,0.10262,0.033,0.106,2126564736.0,23298482176.0,2922021888.0,2611628000.0,15912673000.0,4416373248.0,716035968.0,47.58,19521828000.0,5053179000.0,,5102170000.0,1658285000.0,2234197000.0,0.1641225204590077,,217815395.0,0.1014484580234728,0.1646495620922977,0.9903980071224596,1.3573351599043249,0.2218705645803251,0.198280503729353,0.8151220777070672,0.8795768869054197,225295565.0,119021000.0,93.59,[],{},0.108500292524823,7.973411243660061,8.921056971360393,0.1120943407502427,0.0818463488671155,,0.1811158073235856,1.0,20,20,0.67,12.0,22.0,0.6602090909090909,0.6602090909090909,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6553233333333333,True,0.9,0.6967,buy,3,1,improving,0.4271,new,neutral,0.625,50.87707764076301
MG.TO,Magna International Inc.,Consumer Cyclical,25194383360.0,27.709583,8.663249,1.5039402,2.95,1.217,54.596,0.059660003,0.0263869879364675,0.01585,0.031,,2071000064.0,30648381440.0,4206000128.0,2110000000.0,42010000000.0,6700000256.0,1604999936.0,61.538353,31417000000.0,13738000000.0,,10989000000.0,829000000.0,3598000000.0,0.1425612949297786,,280242006.0,0.0325074905763716,0.1353767858810346,1.2501592501592502,1.0844010911796311,0.2129102078492536,0.2277135216985083,1.3371741413884204,1.3800702342214632,282875928.0,275000000.0,92.55,[],{},0.0822008633594118,7.286823705964471,14.525299260663507,0.0688453974031458,0.0360885979410083,,0.1032896025063638,1.0,20,20,0.5916666666666667,6.0,22.0,0.4509136363636363,0.4509136363636363,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,quality,risk",0.4604033333333334,True,1.0,0.6667,buy,3,13,stable,0.3775,persistent,neutral,0.5,51.075364383148916
NTR.TO,Nutrien Ltd.,Basic Materials,46144663552.0,13.891618,13.113308,1.3026642,3.25,1.239,55.359,0.098129995,0.0433452515248274,0.08881,0.19,12.5,1606249984.0,59351662592.0,5594999808.0,3869000000.0,26885000000.0,13946000384.0,777000000.0,73.79492,52301000000.0,14749000000.0,,11041000000.0,2267000000.0,4007000000.0,0.3104705225962432,,481962233.0,0.0130015432098765,0.2899276143539196,1.3358391450049814,1.1450394354503943,0.229804401445479,0.2470486111111111,0.5140437085332976,0.5010030864197531,491025446.0,729000000.0,96.13,[],{},0.0348090084607493,10.607982954197093,15.340310827604032,0.0651877273699406,0.0719858550674226,,0.093771206980126,1.0,20,20,0.6214285714285716,10.0,22.0,0.6471727272727273,0.6471727272727273,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7979133333333334,True,1.0,0.6643,buy,3,13,stable,0.6429,persistent,neutral,0.5,59.35227323453603
