ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
AEM.TO,Agnico Eagle Mines Limited,Basic Materials,145174806528.0,17.5459,16.403536,3.6165373,0.88,2.858,1.12,0.22969,0.1294254108440557,0.40438,0.35,0.494,4282268928.0,142017249280.0,10149319680.0,6327961000.0,11907851000.0,320350016.0,3477914880.0,79.27473,34471291000.0,4993942000.0,,2472206000.0,4461461000.0,6817113000.0,0.5812862455198675,,500046600.0,0.06321338787337907,0.4448113526917831,2.020034738205473,1.8553875255048893,0.009325731374551652,0.04275790276979191,0.34544255972310406,0.27631133579204176,501729505.0,33442000.0,286.7,[],{},0.02949732829279903,13.992785108528574,22.442813614053563,0.04455769304138433,0.056993371670874676,,0.1977544357908984,1.0,20,20,0.47857142857142854
ATD.TO,Alimentation Couche-Tard Inc.,Consumer Cyclical,73115721728.0,16.524897,15.73074,3.1228902,1.08,1.261,91.922,0.19615,0.0722412315272068,0.03944,0.251,0.098,2788137472.0,85497618432.0,6426699776.0,4567100000.0,76506600000.0,15452099584.0,3198299904.0,25.50522,43516700000.0,10034100000.0,,8926700000.0,3143700000.0,5363200000.0,0.18898761675463294,,918300000.0,0.06737002603004029,0.17872456654697982,1.1240548018864753,0.988250429942368,0.37792387749990236,0.3643761797717607,1.7580974660302826,1.9021719549160747,948064405.0,710200000.0,79.65,[],{},0.03813321411737183,13.303502794900124,18.72032984432134,0.05341786220200291,0.06051474935063136,,0.13203527030933795,1.0,20,20,0.49166666666666664
BMO.TO,Bank of Montreal,Financial Services,170471374848.0,19.987774,14.917475,2.0121095,2.75,,,0.10574,0.005897202197721834,0.2566,0.12,-0.242,,52341153792.0,,,36099000000.0,338824003584.0,459057987584.0,121.887,1476802000000.0,,,,8709000000.0,10240000000.0,,,708905679.0,0.005191370605548765,,,,0.18975326414780044,0.1886777327940967,0.024444035151631703,0.022729803986388082,729529876.0,42050000000.0,245.25,[],{},,,,,0.050030583695813244,,,0.7,14,20,0.46428571428571436
BNS.TO,The Bank of Nova Scotia,Financial Services,161178075136.0,17.3089,13.933655,1.807891,3.41,,,0.11459,0.005334778040631708,0.28430998,0.117,0.234,,-36088922112.0,,,37097000000.0,344388009984.0,543125995520.0,73.146,1460042000000.0,,,,7789000000.0,5407000000.0,,,1236305738.0,0.00549422921799654,,,,0.2156650288142396,0.21293714638601102,0.025408173189538384,0.023806202006052293,1244435686.0,36080000000.0,132.24,[],{},,,,,0.057773746454136306,,,0.7,14,20,0.7142857142857143
ABX.TO,Barrick Mining Corporation,Basic Materials,101732114432.0,11.425139,10.04826,2.6548123,1.62,3.014,12.706,0.27009,0.0968067161719371,0.316,0.438,0.553,5088625152.0,110031118336.0,12903999488.0,8005000000.0,16956000000.0,4681999872.0,5927000064.0,23.28225,51577000000.0,10217000000.0,,3497000000.0,4993000000.0,7689000000.0,0.5125619249823071,,1675360395.0,0.04501742745559149,0.38391889800340506,2.9216471261080925,2.8887206661619986,0.10103340636330148,0.11035988745643135,0.3287511875448359,0.271322386931508,1727100407.0,358000000.0,61.81,[],{},0.050019850471124824,8.526900395363686,13.745298980137415,0.07275214612974558,0.08752628742634991,,0.16649334442595673,1.0,20,20,0.7589285714285716
BCE.TO,BCE Inc.,Communication Services,28507314176.0,4.5356083,11.517248,1.3806341,5.67,0.733,172.785,0.30469,0.08058379592091312,0.2589,0.015,-0.038,2602625024.0,73334317056.0,8696000512.0,5420000000.0,24468000000.0,41776001024.0,479000000.0,22.142,80165000000.0,7407000000.0,,12856000000.0,6460000000.0,6993000000.0,0.6844858590812489,,932525817.0,0.004681227461386678,0.6843377442746528,0.5761512134411948,0.6010373164488751,0.5121811264267448,0.5511873171395523,0.30522048275431923,0.3321630264679867,912283103.0,1775000000.0,30.57,[],{},0.09129674608880278,8.433108640552941,13.5303168,0.0739080994762813,0.22047759282916915,,0.08052414981651786,1.0,20,20,0.475
BAM.TO,Brookfield Corporation,Financial Services,103485931520.0,26.553278,21.31035,9.843976,4.29,1.272,34.454,0.26771,0.1457734498738781,0.48893002,0.608,0.474,2674374912.0,110426931200.0,3830000128.0,3034000000.0,4608000000.0,4088999936.0,1503000064.0,6.5816903,17047000000.0,6930000000.0,,2010000000.0,2485000000.0,2101000000.0,0.7020399305555556,,1608513922.0,0.15313978950342585,0.7107044372023064,3.4477611940298507,3.2041612483745125,0.2124714025928316,0.081090626545172,0.2703114917580806,0.28176873631419086,420238416.0,270000000.0,64.79,[],{},0.0258428838849766,28.832095955480867,36.39648358602505,0.02747518170639881,0.03766013371305795,,0.20176896987431003,1.0,20,20,0.41607142857142854
BN.TO,Brookfield Corporation,Financial Services,118872719360.0,70.06579,,1.9999049,0.73,1.012,161.377,0.0226,0.002518445153968141,0.0177,0.085,0.403,-1981124992.0,497053728768.0,32657000448.0,18049000000.0,75100000000.0,268913000448.0,14885000192.0,26.626266,518971000000.0,65079000000.0,,76993000000.0,1307000000.0,10958000000.0,0.24137150466045273,,2244618516.0,0.0013070322822700358,0.21010162081715228,0.8452586598781707,0.7768742480189188,0.5002437515776411,0.47875307896840286,0.14470943463122216,0.17537069963949561,1506550088.0,17100000000.0,53.25,[],{},-0.016665934813859716,15.220434269811845,27.53912841531387,0.036311969824140235,0.0142723003622738,,0.04083687423355914,1.0,20,20,0.27321428571428574
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,39860469760.0,57.86207,24.7808,3.749291,5.02,0.889,205.362,0.07692,0.006016387046429965,0.01273,0.194,,-844000000.0,114429042688.0,10497000448.0,5798000000.0,23100000000.0,66789998592.0,3512000000.0,13.426538,128150000000.0,11978000000.0,,15260000000.0,771000000.0,5971000000.0,0.2694372294372294,,462889419.0,0.0033559613729802085,0.2549075526403346,0.7849279161205767,0.881133632945061,0.5393445181428014,0.5388086815183096,0.18025751072961374,0.20115689836504447,464255981.0,3488000000.0,50.34,[],{},-0.021173859843642746,10.901118205611036,19.735950791307346,0.050668954871961255,0.017282478832851986,,0.0513597307113119,1.0,20,20,0.525
CAE.TO,CAE Inc.,Industrials,11123104768.0,38.831463,23.27649,2.053232,,0.833,58.631,0.056350004,0.02808625917221335,0.05751,0.068,-0.46,694649984.0,13794668544.0,928400000.0,622500000.0,4914000000.0,3214899968.0,568700032.0,16.832,11147800000.0,2265200000.0,,2361300000.0,313100000.0,791900000.0,0.283028083028083,,321734387.0,0.036142966701742496,0.27615284946579155,0.9593020793630627,0.7979155034431417,0.2901200236818027,0.3094758244306123,0.4408044636609914,0.4198309226132087,320265108.0,186500000.0,34.56,[],{},0.06245108703807545,14.858540008616975,22.160110110843373,0.04512612956334908,0.02575231327235855,,0.07084732259716611,0.95,19,20,0.5196078431372548
