ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
WIT,Wipro Limited,Technology,18399553536.0,14.307693,12.464817,2.0784996,10.37,2.049,22.853,0.15439999,0.09298776406329487,0.14248,0.077,-0.016,115355377664.0,-318434476032.0,171158994944.0,149126000000.0,926240000000.0,202910007296.0,543235014656.0,0.89487636,1419262000000.0,826354000000.0,,403232000000.0,131974000000.0,,0.29155294524097425,,10476506978.0,0.10210023940552809,0.30652924510935203,2.0493264423458455,2.7170894278837254,0.14296866963252733,0.14926701489288935,0.6526208691559416,0.6924758262599882,10460230569.0,7909000000.0,1.86,[],{},6.2694661279850745,-1.8604600718541597,-2.135338412027413,-0.46830984464450415,0.06989246973638587,,0.1467732252000433,0.95,19,20,0.8916666666666667,12.0,22.0,0.6892363636363635,0.6892363636363635,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7277466666666668,True,0.83335,0.9333,strong_buy,4
PDD,PDD Holdings Inc.,Consumer Cyclical,119764582400.0,8.866175,6.900841,1.8908155,,2.535,1.21,0.254,0.15529469087656747,0.21620001,0.11,-0.149,71642849280.0,-312816435200.0,97156792320.0,93102131000.0,431845713000.0,5121999872.0,436071006208.0,44.499317,630044327000.0,518979892000.0,,213737168000.0,97842539000.0,,0.5628027619206677,,5693585848.0,0.222627469932162,0.6092273532763555,2.4281218697536033,2.20593322615702,0.008537169163337296,0.02100281043080645,0.6854211592639259,0.7798204686748454,5568585848.0,0.0,84.14,[],{},0.5981972954301388,-3.219707317731257,-3.3599277679261714,-0.2976254458640413,0.11278820912061853,,0.22363807344470865,0.9,18,20,0.7696078431372548,10.0,22.0,0.6161136363636364,0.6161136363636364,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,3,5,"cheapness,quality,risk",0.5203516666666667,True,0.83335,0.7396,strong_buy,4
TME,Tencent Music Entertainment Group,Communication Services,14931937280.0,10.857143,8.59318,1.283549,2.63,2.086,6.278,0.1195,0.1078402684301906,0.26482,0.073,-0.518,4602375168.0,-5060088320.0,11173999616.0,9737000000.0,32902000000.0,4841999872.0,26742999040.0,7.1053,102522000000.0,32458000000.0,,14589000000.0,11056000000.0,,0.4417664579660811,,3099258824.0,0.0734598204413781,0.42340058448646173,2.224826924395092,2.087250755287009,0.037192017323111136,0.06690327716598116,0.320926240221611,0.3140175135995754,3081835248.0,122000000.0,9.12,[],{},0.3082235802158419,-0.45284486252840767,-0.5196763191948238,-1.9242747130548108,0.0921052619459834,,0.11073203461726541,0.95,19,20,0.7090643274853801,13.0,22.0,0.6763909090909089,0.6763909090909089,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6612283333333333,True,0.66665,0.713,strong_buy,4
BIDU,"Baidu, Inc.",Communication Services,36488695808.0,,12.350657,0.9189098,,1.852,32.2,0.00319,0.012443310468277239,0.01023,-0.012,-0.593,7958624768.0,37183004672.0,23586000896.0,10367000000.0,129079000000.0,94136000512.0,116890001408.0,116.70351,449157000000.0,151970000000.0,,86328000000.0,5589000000.0,,0.43882428590243183,,2722014080.0,0.0555425686100332,0.5034591549295775,1.7603790195533315,2.085765814732005,0.21613155310949178,0.1854317639908364,0.2873805818455462,0.3111996820795736,2763574692.0,2784000000.0,107.24,[],{},0.21811206434665453,1.5764861892422781,3.5866696895919747,0.27881017393429436,,,0.02857268851166803,0.85,17,20,0.6064814814814814,6.0,22.0,0.4213727272727273,0.4213727272727273,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,2,5,"cheapness,risk",0.3474683333333334,True,0.83335,0.6591,buy,3
UMC,United Microelectronics Corporation,Technology,53322342400.0,34.274193,26.063385,4.2450743,1.94,2.719,18.694,0.12515001,0.07114772155874638,0.20816,0.055,1.081,34353795072.0,-4731720192.0,104007925760.0,43658935000.0,237553199000.0,76035743744.0,134263775232.0,5.0058017,567274863000.0,204783258000.0,,89527187000.0,40360314000.0,,0.29006765343538904,,12588156344.0,0.08707962046914935,0.325670419576564,2.287386266252284,2.450639458270337,0.10538396093182786,0.12579685891375397,0.4187620754843847,0.41470092536634773,12560716404.0,1529063000.0,21.25,[],{},0.6442664280254875,-0.045493842487720815,-0.10837919413288483,-9.226863218542572,0.029176471055058835,,0.09138492386931046,0.95,19,20,0.5250000000000001,7.0,22.0,0.5554272727272728,0.5554272727272728,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.638795,True,0.83335,0.575,buy,3
NMR,"Nomura Holdings, Inc.",Financial Services,27475924992.0,12.702702,16.785713,1.1948217,3.45,1.541,984.203,0.1007,0.005780567530928787,0.16705999,0.275,0.041,,397361938432.0,,,1841954000000.0,37940180811776.0,37717341634560.0,7.867282,62645925000000.0,,,,362129000000.0,,,,2901337224.0,0.005998644065886919,,,,0.28474413938336773,0.26510469582412083,0.029402614775023275,0.02926602980132625,2956210965.0,2590773000000.0,9.4,[],{},,,,,0.07872340861023111,,,0.75,15,20,0.8690476190476191,5.0,22.0,0.49166363636363636,0.49166363636363636,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.5114783333333334,False,0.36665000000000003,0.9487,hold,2
TAK,Takeda Pharmaceutical Company Limited,Healthcare,54768574464.0,,32.35849,1.1821294,3.6,1.091,73.7,-0.02118,-0.009824320088584564,-0.03382,0.039,,672782745600.0,4936700526592.0,1236273987584.0,464451000000.0,4505720000000.0,5476358029312.0,595053969408.0,14.507718,15511506000000.0,3090503000000.0,,2832074000000.0,-152390000000.0,,0.651201583764637,,1579836830.0,0.00757477500543221,0.6550912562143256,1.0912507935880207,1.0058531326886948,0.31472366384024864,0.31689752858297077,0.29047598601966823,0.3215497183391979,1573649646.0,148123000000.0,17.15,[],{},12.2841018263535,3.993209091327395,10.629109478915968,0.09408125882827835,,,0.03663026861140152,0.9,18,20,0.7041910331384016,2.0,22.0,0.44281818181818183,0.44281818181818183,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.38871,False,0.65,0.7494,hold,2
LI,Li Auto Inc.,Consumer Cyclical,12291957760.0,,12.05233,1.2143004,,1.879,25.122,-0.02495,0.007287546834224632,-0.0166,-0.114,,-15601390592.0,-62272106496.0,1323948800.0,-521117000.0,112312511000.0,17737906176.0,93105160192.0,10.203406,154295818000.0,115285994000.0,,63547653000.0,1124438000.0,,0.18684523935182965,,2027667098.0,0.049475796838217956,0.20528969324133625,1.8141660400896316,1.8248666751348563,0.11545852137094215,0.10067638942797076,0.7279037919226041,0.8898106954447872,2007706522.0,168078000.0,12.39,[],{},-1.2692356170283488,-47.035131944679435,119.49736142939109,0.00836838561151731,,,-0.0057424522027525295,0.85,17,20,0.611111111111111,2.0,22.0,0.2573318181818182,0.2573318181818182,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,2,5,"cheapness,risk",0.21953666666666666,True,0.56665,0.678,hold,2
HMC,Honda Motor,Consumer Cyclical,36538355712.0,,5.677419,0.5020104,4.73,1.281,113.654,-0.028499998,-0.01265144869548843,-0.019450001,0.086,,-794744520704.0,8810103046144.0,-1646000000.0,-414346000000.0,21796610000000.0,13806806761472.0,5363801784320.0,56.09445,33509285000000.0,13074752000000.0,,10204480000000.0,-423941000000.0,,0.16530928433366474,,3892580441.0,0.027158844948218682,0.21504122387409114,1.2812756749976482,1.356651074379724,0.1466894026536227,0.14369167893791587,0.6504647890875619,0.7047329324629588,4346509571.0,83562000000.0,28.16,[],{},-21.750965669289503,-5352.431984291616,-21.262671888093525,-0.04703077794094028,,,-0.017779423599553826,0.9,18,20,0.5833333333333334,2.0,22.0,0.3625181818181818,0.3625181818181818,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.3306266666666667,False,0.55,0.6667,hold,2
MFG,"Mizuho Financial Group, Inc.",Financial Services,120238243840.0,15.919354,7.1007195,1.721843,1.86,,,0.11439,0.0041312593517969405,0.2838,0.449,6.798,,-57612469010432.0,,,4316919000000.0,66568880914432.0,124389056053248.0,5.7322297,302240042000000.0,,,,1248632000000.0,,,,2438523594.0,0.0031252002591384133,,,,0.08662295977314614,0.07939323706456383,0.014283080995601502,0.01344521942726017,2512846630.0,4474506000000.0,9.87,[],{},,,,,0.06281661931759291,,,0.65,13,20,0.6309523809523809,4.0,22.0,0.45042727272727273,0.45042727272727273,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.5566283333333334,False,0.36665000000000003,0.6282,hold,2
