ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
WIT,Wipro Limited,Technology,18498476032.0,14.384616,12.531832,2.0896742,4.63,1.672,27.398,0.16128999,0.09298776406329487,0.13919,0.106,0.009,108508127232.0,-161371619328.0,174871003136.0,149126000000.0,926240000000.0,212821999616.0,394750001152.0,0.89487636,1419262000000.0,826354000000.0,,403232000000.0,131974000000.0,149316000000.0,0.29155294524097425,,10476506978.0,0.10210023940552809,0.30652924510935203,2.0493264423458455,2.7170894278837254,0.14296866963252733,0.14926701489288935,0.6526208691559416,0.6924758262599882,10460230569.0,7909000000.0,1.87,[],{},5.865787378608638,-0.9228037606812302,-1.0821159243056206,-0.9241154090230088,0.0695187136034775,,0.1467732252000433,1.0,20,20,0.8250000000000001,12.0,22.0,0.6884181818181818,0.6884181818181818,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7357566666666666,True,1.0,0.8583,strong_buy,4,9,stable,0.8417,persistent
TME,Tencent Music Entertainment Group,Communication Services,14506246144.0,10.547619,8.367653,1.2424593,2.71,2.086,6.278,0.1195,0.1078402684301906,0.26482,0.073,-0.518,4602375168.0,-5460662784.0,11173999616.0,9737000000.0,32902000000.0,4841999872.0,26742999040.0,7.131018,102522000000.0,32458000000.0,,14589000000.0,11056000000.0,10231000000.0,0.4417664579660811,,3099258824.0,0.0734598204413781,0.42340058448646173,2.224826924395092,2.087250755287009,0.037192017323111136,0.06690327716598116,0.320926240221611,0.3140175135995754,3081835248.0,122000000.0,8.86,[],{},0.31726851470141443,-0.48869366132614694,-0.5608157321556948,-1.7831168825384842,0.09480812683886289,,0.11073203461726541,1.0,20,20,0.7187865497076024,13.0,22.0,0.6996045454545454,0.6996045454545454,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7015016666666667,True,0.83335,0.7255,strong_buy,4,9,stable,0.7221,persistent
PDD,PDD Holdings Inc.,Consumer Cyclical,117657960448.0,8.682773,6.7778506,1.8564495,,2.535,1.21,0.254,0.15529469087656747,0.21620001,0.11,-0.149,71642849280.0,-314894352384.0,97156792320.0,93102131000.0,431845713000.0,5121999872.0,436071006208.0,44.525856,630044327000.0,518979892000.0,,213737168000.0,97842539000.0,106938690000.0,0.5628027619206677,,5693585848.0,0.222627469932162,0.6092273532763555,2.4281218697536033,2.20593322615702,0.008537169163337296,0.02100281043080645,0.6854211592639259,0.7798204686748454,5568585848.0,0.0,82.66,[],{},0.6089077951649792,-3.241094573674785,-3.382246453456581,-0.29566148231984163,0.11517057972147839,,0.22363807344470865,0.95,19,20,0.7450980392156862,11.0,22.0,0.6414454545454547,0.6414454545454547,0.5,0.0,1.0,0.5,22.0,3,5,"cheapness,quality,risk",0.564825,True,1.0,0.7214,strong_buy,4,9,stable,0.418,persistent
BIDU,"Baidu, Inc.",Communication Services,35842215936.0,,12.270091,0.9024153,,1.852,32.2,0.00319,0.012443310468277239,0.01023,-0.012,-0.593,7958624768.0,36536766464.0,23586000896.0,10367000000.0,129079000000.0,94136000512.0,116890001408.0,116.73118,449157000000.0,151970000000.0,,86328000000.0,5589000000.0,-3013000000.0,0.43882428590243183,,2722014080.0,0.0555425686100332,0.5034591549295775,1.7603790195533315,2.085765814732005,0.21613155310949178,0.1854317639908364,0.2873805818455462,0.3111996820795736,2763574692.0,2784000000.0,105.34,[],{},0.22204611406311908,1.549086961588149,3.5243336031638854,0.2837415842536229,,,0.02857268851166803,0.9,18,20,0.6041666666666665,6.0,22.0,0.42171818181818177,0.42171818181818177,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,2,5,"cheapness,risk",0.347595,True,0.83335,0.6667,buy,3,9,stable,0.2288,persistent
UMC,United Microelectronics Corporation,Technology,48880902144.0,31.934425,24.066319,3.8956358,2.12,2.719,18.694,0.12515001,0.07114772155874638,0.20816,0.055,1.081,34353795072.0,-9184686080.0,104007925760.0,43658935000.0,237553199000.0,76035743744.0,134263775232.0,5.0004673,567274863000.0,204783258000.0,,89527187000.0,40360314000.0,99864187000.0,0.29006765343538904,,12588156344.0,0.08707962046914935,0.325670419576564,2.287386266252284,2.450639458270337,0.10538396093182786,0.12579685891375397,0.4187620754843847,0.41470092536634773,12560716404.0,1529063000.0,19.48,[],{},0.7028060769172371,-0.0883075593795978,-0.21037357141212903,-4.753448797239677,0.03131416958345109,,0.09138492386931046,1.0,20,20,0.5666666666666668,8.0,22.0,0.5858409090909091,0.5858409090909091,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6880816666666666,True,1.0,0.6167,buy,3,9,stable,0.5917,persistent
INFY,Infosys Limited,Technology,44996870144.0,13.716049,13.047103,9.189412,4.71,1.862,9.541,0.32,0.20144716040374558,0.16370001,0.029,0.053,3165625088.0,87837130752.0,4481999872.0,4089000000.0,20158000000.0,923000000.0,3124000000.0,1.209,16446000000.0,10912000000.0,,5516000000.0,3313000000.0,4039000000.0,0.30156761583490427,,4046940812.0,0.18129628566507835,0.3046117134408881,1.9782451051486585,2.2663607342378294,0.05879849203453728,0.05522705092140766,1.2257083789371275,1.1066651357712842,4143607528.0,47000000.0,11.11,[],{},0.07035211733325662,19.59775396263108,21.481323245781365,0.046552067047191156,0.07290729276338981,,0.3741079597438243,1.0,20,20,0.5916666666666666,11.0,22.0,0.6438636363636364,0.6438636363636364,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7637983333333334,True,1.0,0.575,buy,3,7,stable,0.5833,persistent
NMR,"Nomura Holdings, Inc.",Financial Services,28674344960.0,13.438356,17.517859,1.2475444,3.3,1.541,984.203,0.1007,0.005780567530928787,0.16705999,0.275,0.041,,398560329728.0,,,1841954000000.0,37940180811776.0,37717341634560.0,7.8634477,62645925000000.0,,,,362129000000.0,-842960000000.0,,,2901337224.0,0.005998644065886919,,,,0.28474413938336773,0.26510469582412083,0.029402614775023275,0.02926602980132625,2956210965.0,2590773000000.0,9.81,[],{},,,,,0.07441386431495042,,,0.8,16,20,0.8690476190476191,5.0,22.0,0.4626818181818182,0.4626818181818182,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.4961516666666667,False,0.36665000000000003,0.9487,hold,2,9,stable,0.4363,persistent
TAK,Takeda Pharmaceutical Company Limited,Healthcare,55055990784.0,,32.528305,1.1916162,3.58,1.091,73.7,-0.02118,-0.009824320088584564,-0.03382,0.039,,672782745600.0,4936984690688.0,1236273987584.0,464451000000.0,4505720000000.0,5476358029312.0,595053969408.0,14.467746,15511506000000.0,3090503000000.0,,2832074000000.0,-152390000000.0,1041431000000.0,0.651201583764637,,1579836830.0,0.00757477500543221,0.6550912562143256,1.0912507935880207,1.0058531326886948,0.31472366384024864,0.31689752858297077,0.29047598601966823,0.3215497183391979,1573649646.0,148123000000.0,17.24,[],{},12.21997344920218,3.9934389466012696,10.629721306850454,0.0940758436776266,,,0.03663026861140152,0.95,19,20,0.7004873294346979,2.0,22.0,0.4519727272727273,0.4519727272727273,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.39947666666666665,False,0.65,0.7494,hold,2,9,stable,0.1377,persistent
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,36538355712.0,,5.677419,0.5066168,4.73,1.281,113.654,-0.028499998,-0.01265144869548843,-0.019450001,0.086,,189562503168.0,8810103046144.0,1000784003072.0,-414346000000.0,21796610000000.0,13806806761472.0,5363801784320.0,55.584423,33509285000000.0,13074752000000.0,,10204480000000.0,-423941000000.0,1135261000000.0,0.16530928433366474,,3892580441.0,0.027158844948218682,0.21504122387409114,1.2812756749976482,1.356651074379724,0.1466894026536227,0.14369167893791587,0.6504647890875619,0.7047329324629588,4346509571.0,83562000000.0,28.16,[],{},5.1880414286334045,8.803201309274094,-21.262671888093525,-0.04703077794094028,,,-0.017779423599553826,0.95,19,20,0.688888888888889,2.0,22.0,0.4010818181818182,0.4010818181818182,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.346565,False,0.45,0.7139,hold,2,9,stable,0.1333,persistent
LI,Li Auto Inc.,Consumer Cyclical,12623691776.0,,11.786893,1.1878386,,1.879,25.122,-0.02495,0.007287546834224632,-0.0166,-0.114,,-15601390592.0,-62545833984.0,1323948800.0,-521117000.0,112312511000.0,17737906176.0,93105160192.0,10.203406,154295818000.0,115285994000.0,,63547653000.0,1124438000.0,-8611397000.0,0.18684523935182965,,2027667098.0,0.049475796838217956,0.20528969324133625,1.8141660400896316,1.8248666751348563,0.11545852137094215,0.10067638942797076,0.7279037919226041,0.8898106954447872,2007706522.0,168078000.0,12.12,[],{},-1.2358817744315622,-47.24188275558692,120.02263212292057,0.008331761954494175,,,-0.0057424522027525295,0.9,18,20,0.5763888888888888,3.0,22.0,0.27885454545454547,0.27885454545454547,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,2,5,"cheapness,risk",0.22742833333333334,True,0.56665,0.6515,hold,2,9,stable,0.221,persistent
