ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
BABA,Alibaba Group Holding Limited,Consumer Cyclical,288439599104.0,18.599691,13.222427,1.7846445,0.91,1.282,25.014,0.092159994,0.05424886230931571,0.1012,0.029,1.041,-44074250240.0,298595614720.0,110100996096.0,59665000000.0,1023670000000.0,281721995264.0,316819996672.0,67.43079,1909570000000.0,610769000000.0,,476398000000.0,103592000000.0,,0.39811071927476627,,18580374278.0,0.07211343140303299,0.39952145186365795,1.2820561799167922,1.5483064045609698,0.1475316432495274,0.13751595558651988,0.5360735663002666,0.552229292655525,18997077324.0,9793000000.0,120.34,[],{},-0.1528023557684552,2.7120155612365804,5.0045355689265065,0.19981874166487423,0.05376433404189349,,0.041631430142369516,0.95,19,20,0.4375
PDD,PDD Holdings Inc.,Consumer Cyclical,122483269632.0,9.06744,7.0574923,1.9372432,,2.535,1.21,0.254,0.15529469087656747,0.21620001,0.11,-0.149,71642849280.0,-312816435200.0,97156792320.0,93102131000.0,431845713000.0,5121999872.0,436071006208.0,44.418793,630044327000.0,518979892000.0,,213737168000.0,97842539000.0,,0.5628027619206677,,5693585848.0,0.222627469932162,0.6092273532763555,2.4281218697536033,2.20593322615702,0.008537169163337296,0.02100281043080645,0.6854211592639259,0.7798204686748454,5568585848.0,0.0,86.05,[],{},0.5849194710040838,-3.219707317731257,-3.3599277679261714,-0.2976254458640413,0.11028471100994328,,0.22363807344470865,0.9,18,20,0.7696078431372548
JD,"JD.com, Inc.",Consumer Cyclical,41325297664.0,22.5,7.2050834,1.312311,3.38,1.18,38.478,0.06004,0.02823787652779556,0.0104600005,0.049,-0.507,7005875200.0,10754989056.0,7084000256.0,3690000000.0,1309085000000.0,108019998720.0,202132996096.0,23.317642,695201000000.0,374421000000.0,,306072000000.0,19631000000.0,,0.16043877975838086,,2741847251.0,0.059233723937820275,0.15866843743500927,1.2233102015212107,1.2910547173653935,0.15406335721611447,0.12856434948742113,1.883030950761003,1.6596427558669444,2903433255.0,2803000000.0,30.6,[],{},0.169529939190325,1.518208451064178,2.9146311804878047,0.3430965834355192,0.044444444444444446,,0.009482716528452005,0.95,19,20,0.47083333333333327
BIDU,"Baidu, Inc.",Communication Services,37363146752.0,,12.64664,0.94093144,,1.852,32.2,0.00319,0.012443310468277239,0.01023,-0.012,-0.593,7958624768.0,37183004672.0,23586000896.0,10367000000.0,129079000000.0,94136000512.0,116890001408.0,116.70351,449157000000.0,151970000000.0,,86328000000.0,5589000000.0,,0.43882428590243183,,2722014080.0,0.0555425686100332,0.5034591549295775,1.7603790195533315,2.085765814732005,0.21613155310949178,0.1854317639908364,0.2873805818455462,0.3111996820795736,2763574692.0,2784000000.0,109.81,[],{},0.2130073470745337,1.5764861892422781,3.5866696895919747,0.27881017393429436,,,0.02857268851166803,0.85,17,20,0.6064814814814814
NIO,NIO Inc.,Consumer Cyclical,12052258816.0,,27.747923,18.629501,,1.009,183.304,-0.83959,-0.12516513723458247,-0.09086,1.122,,,17063680000.0,-467509504.0,-14041238000.0,87487510000.0,26567524352.0,31765663744.0,0.25819263,124401078000.0,76633037000.0,,78582563000.0,-15570678000.0,,0.13619892713828521,,2474273324.0,-0.21056432042150758,0.09877693605289356,0.9751913665630886,0.9931796819773014,0.2513091968543874,0.31432949175078106,0.7032697096081434,0.6108619117552322,2091505895.0,885248000.0,4.81,[],{},,-36.499108261978776,-1.2152546662908215,-0.8228727918010652,,,-0.30645336279449475,0.8,16,20,0.25
LI,Li Auto Inc.,Consumer Cyclical,12272115712.0,,12.032874,1.2123402,,1.879,25.122,-0.02495,0.007287546834224632,-0.0166,-0.114,,-15601390592.0,-62272106496.0,1323948800.0,-521117000.0,112312511000.0,17737906176.0,93105160192.0,10.203406,154295818000.0,115285994000.0,,63547653000.0,1124438000.0,,0.18684523935182965,,2027667098.0,0.049475796838217956,0.20528969324133625,1.8141660400896316,1.8248666751348563,0.11545852137094215,0.10067638942797076,0.7279037919226041,0.8898106954447872,2007706522.0,168078000.0,12.37,[],{},-1.2712877679880858,-47.035131944679435,119.49736142939109,0.00836838561151731,,,-0.0057424522027525295,0.85,17,20,0.611111111111111
XPEV,XPeng Inc.,Consumer Cyclical,12617468928.0,,29.294827,2.8338618,,1.138,83.214,-0.07638,-0.011045278702181206,-0.03056,-0.176,,,6012860928.0,-1189754752.0,-2654097000.0,76719742000.0,23682467840.0,30594603008.0,4.6544256,103162630000.0,63253827000.0,,58113349000.0,-1139460000.0,,0.18864660676257228,,1908699765.0,-0.07001011594005062,0.14304614590958042,1.088456061962631,1.2476160785421093,0.18954225963413301,0.1927118318532834,0.7436776476132879,0.4941147814904353,1898112757.0,379931000.0,13.19,[],{},,-5.053865864281919,-2.2655015728513312,-0.44140335720068063,,,-0.058915413100599764,0.8,16,20,0.37500000000000006
TME,Tencent Music Entertainment Group,Communication Services,15013800960.0,10.916667,8.646203,1.2905859,2.63,2.086,6.278,0.1195,0.1078402684301906,0.26482,0.073,-0.518,4602375168.0,-5060088320.0,11173999616.0,9737000000.0,32902000000.0,4841999872.0,26742999040.0,7.1053,102522000000.0,32458000000.0,,14589000000.0,11056000000.0,,0.4417664579660811,,3099258824.0,0.0734598204413781,0.42340058448646173,2.224826924395092,2.087250755287009,0.037192017323111136,0.06690327716598116,0.320926240221611,0.3140175135995754,3081835248.0,122000000.0,9.17,[],{},0.30654297204696657,-0.45284486252840767,-0.5196763191948238,-1.9242747130548108,0.09160305063807479,,0.11073203461726541,0.95,19,20,0.7173976608187134
TM,Toyota Motor Corporation,Consumer Cyclical,211409633280.0,9.777108,11.313688,14.965211,3.53,1.274,107.061,0.10233,0.03646714362289817,0.07592,0.019,0.232,-1204836106240.0,34853928042496.0,5612894158848.0,3766216000000.0,50684952000000.0,43916481003520.0,13867543429120.0,11.929668,105522331000000.0,42824081000000.0,,33605019000000.0,3848098000000.0,,0.16698723518570166,,13033384474.0,,,1.274335866318064,1.259713218152205,0.40944384558752783,0.414447857856751,0.4803244158812223,,13048929774.0,60293000000.0,178.53,[],{},-5.699059629152582,6.209617900518095,9.254362480138155,0.10805714625358735,0.10227973343446753,,0.05236869809594663,0.95,19,20,0.43333333333333335
SONY,Sony Group Corporation,Technology,124202565632.0,19.952831,17.773108,2.5011296,0.75,1.182,19.513,0.12336001,-0.020841343348961233,-0.02619,0.083,-0.574,-1357953368064.0,23042932736.0,1970009014272.0,1553690000000.0,12479620000000.0,1669669060608.0,2208879083520.0,8.456179,15683490000000.0,5949991000000.0,,5032624000000.0,-326865000000.0,,0.3080538509986682,,5907667254.0,0.03234619907935169,0.293322089383749,1.1822840331405644,0.6974586828740545,0.10646029678343277,0.11895348712341619,0.7957170247183503,0.3409984418232954,6025003795.0,35575000000.0,21.15,[],{},-10.933376143673895,0.01169686664835659,0.01483110062882557,67.4258792403047,0.05011820127178945,,0.14587452325472877,0.95,19,20,0.4
