ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABN.AS,aex,NL0011540547,true,ABNa_EQ,NL0011540547,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ADYEN.AS,aex,NL0012969182,true,ADYENa_EQ,NL0012969182,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
AGN.AS,aex,BMG0112X1056,true,AGNa_EQ,BMG0112X1056,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
AD.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
AKZA.AS,aex,NL0013267909,true,AKZAa_EQ,NL0013267909,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MT.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
ASM.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
ASML.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
ASRNL.AS,aex,NL0011872643,true,ASRNLa_EQ,NL0011872643,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BESI.AS,aex,NL0012866412,true,BESIa_EQ,NL0012866412,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DSFIR.AS,aex,CH1216478797,true,DSMa_EQ,CH1216478797,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
EXO.AS,aex,NL0012059018,true,EXOa_EQ,NL0012059018,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HEIA.AS,aex,NL0000009165,true,HEIAa_EQ,NL0000009165,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
IMCD.AS,aex,NL0010801007,true,IMCDa_EQ,NL0010801007,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
INGA.AS,aex,NL0011821202,true,INGAa_EQ,NL0011821202,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
KPN.AS,aex,NL0000009082,true,KPNa_EQ,NL0000009082,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
NN.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
PHIA.AS,aex,NL0000009538,true,PHIAa_EQ,NL0000009538,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
PRX.AS,aex,NL0013654783,true,PRXa_EQ,NL0013654783,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RAND.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
REN.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
SHELL.AS,aex,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
UMG.AS,aex,NL0015000IY2,true,UMG1a_EQ,NL0015000IY2,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
UNA.AS,aex,GB00BVZK7T90,true,UNIAa_EQ,GB00BVZK7T90,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
WKL.AS,aex,NL0000395903,true,WKLa_EQ,NL0000395903,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
