ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABDP.L,aim,GB00B9GQVG73,true,ABDPl_EQ,GB00B9GQVG73,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ABC.L,aim,US03073E1055,true,ABC_US_EQ,US03073E1055,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
AMS.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
APH.L,aim,US0320951017,true,APH_US_EQ,US0320951017,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
AFM.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
ALPH.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
ASY.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
APGN.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
ASC.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
ATYM.L,aim,CY0106002112,true,ATYMl_EQ,CY0106002112,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BMK.L,aim,GB00BGHPT808,true,BMKl_EQ,GB00BGHPT808,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
PRSM.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
BOO.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
BREE.L,aim,GB00BM8NFJ84,true,BREEl_EQ,GB00BM8NFJ84,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BRK.L,aim,GB00B067N833,true,BRKl_EQ,GB00B067N833,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BUR.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
BMN.L,aim,GG00B4TM3943,true,BMNl_EQ,GG00B4TM3943,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CAM.L,aim,GB0001667087,true,CAMl_EQ,GB0001667087,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CTH.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CAML.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CWR.L,aim,GB00BG5KQW09,true,CWRl_EQ,GB00BG5KQW09,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CLIN.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CDM.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CHRT.L,aim,GB00B0YD2B94,true,CHRTl_EQ,GB00B0YD2B94,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CRW.L,aim,GB00B2425G68,true,CRWl_EQ,GB00B2425G68,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CREO.L,aim,GB00BZ1BLL44,true,CREOl_EQ,GB00BZ1BLL44,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CVSG.L,aim,GB00B2863827,true,CVSGl_EQ,GB00B2863827,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DTG.L,aim,DE000DTR0CK8,true,DTGd_EQ,DE000DTR0CK8,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DGOC.L,aim,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
DOTD.L,aim,GB00B3W40C23,true,DOTDl_EQ,GB00B3W40C23,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
