ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
EBS.VI,atx,AT0000652011,true,EBS_AT_EQ,AT0000652011,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
VER.VI,atx,AT0000746409,true,VER_AT_EQ,AT0000746409,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
OMV.VI,atx,AT0000743059,true,OMV_AT_EQ,AT0000743059,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
BG.VI,atx,AT0000BAWAG2,true,BG_AT_EQ,AT0000BAWAG2,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
ANDR.VI,atx,AT0000730007,true,ANDR_AT_EQ,AT0000730007,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
WIE.VI,atx,AT0000831706,true,WIE_AT_EQ,AT0000831706,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
VOE.VI,atx,AT0000937503,true,VOE_AT_EQ,AT0000937503,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
RBI.VI,atx,AT0000606306,true,RBI_AT_EQ,AT0000606306,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
POS.VI,atx,AT0000609607,true,POS_AT_EQ,AT0000609607,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
CAI.VI,atx,AT0000641352,true,CAI_AT_EQ,AT0000641352,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
EVN.VI,atx,AT0000741053,true,EVN_AT_EQ,AT0000741053,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
ATS.VI,atx,AT0000969985,true,ATS_AT_EQ,AT0000969985,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
POST.VI,atx,AT0000APOST4,true,POST_AT_EQ,AT0000APOST4,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
VIG.VI,atx,AT0000908504,true,VIG_US_EQ,AT0000908504,STOCK,EUR,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
LNZ.VI,atx,AT0000644505,true,LNZ_AT_EQ,AT0000644505,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
UQA.VI,atx,AT0000821103,true,UQA_AT_EQ,AT0000821103,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
SBO.VI,atx,AT0000946652,true,SBO_AT_EQ,AT0000946652,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
STR.VI,atx,AT000000STR1,true,STR_AT_EQ,AT000000STR1,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
DOC.VI,atx,AT0000818802,true,DOC_AT_EQ,AT0000818802,STOCK,EUR,AT,catalogue_hit,verified,AT,true,online,verified,catalogue_hit,,2026-07-22
