ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABI.BR,bel20,BE0974293251,true,ABI_BE_EQ,BE0974293251,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
ACKB.BR,bel20,BE0003764785,true,ACKB_BE_EQ,BE0003764785,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
AED.BR,bel20,BE0003851681,true,AED_BE_EQ,BE0003851681,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
AGS.BR,bel20,BE0974264930,true,AGS_BE_EQ,BE0974264930,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
ARGX.BR,bel20,NL0010832176,true,ARGX_BE_EQ,NL0010832176,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
APAM.AS,bel20,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
AZE.BR,bel20,BE0974400328,true,AZE_BE_EQ,BE0974400328,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
DIE.BR,bel20,BE0974259880,true,DIE_BE_EQ,BE0974259880,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
ELI.BR,bel20,BE0003822393,true,ELI_BE_EQ,BE0003822393,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
GBLB.BR,bel20,BE0003797140,true,GBLB_BE_EQ,BE0003797140,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
KBC.BR,bel20,BE0003565737,true,KBC_BE_EQ,BE0003565737,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
LOTB.BR,bel20,BE0003604155,true,LOTB_BE_EQ,BE0003604155,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
MELE.BR,bel20,BE0165385973,true,MELE_BE_EQ,BE0165385973,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
MONT.BR,bel20,BE0003853703,true,MONT_BE_EQ,BE0003853703,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
SOF.BR,bel20,BE0003717312,true,SOF_BE_EQ,BE0003717312,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
SOLB.BR,bel20,BE0003470755,true,SOLB_BE_EQ,BE0003470755,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
SYENS.BR,bel20,BE0974464977,true,SYENS_BB_EQ,BE0974464977,STOCK,EUR,BB,catalogue_hit,verified,BB,true,online,verified,catalogue_hit,,2026-07-22
UCB.BR,bel20,BE0003739530,true,UCB_BE_EQ,BE0003739530,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
UMI.BR,bel20,BE0974320526,true,UMI_BE_EQ,BE0974320526,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
WDP.BR,bel20,BE0974349814,true,WDP_BE_EQ,BE0974349814,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
