ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
AC.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
AI.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
AIR.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
MT.AS,cac40,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
CS.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
BNP.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
EN.PA,cac40,FR0000120503,true,ENp_EQ,FR0000120503,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BVI.PA,cac40,FR0006174348,true,BVIp_EQ,FR0006174348,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CAP.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
CA.PA,cac40,FR0000120172,true,CAp_EQ,FR0000120172,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ACA.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
BN.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
DSY.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
EDEN.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
ENGI.PA,cac40,FR0010208488,true,ENGIp_EQ,FR0010208488,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
EL.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
ERF.PA,cac40,FR0014000MR3,true,ERFp_EQ,FR0014000MR3,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RMS.PA,cac40,FR0000052292,true,RMSp_EQ,FR0000052292,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
KER.PA,cac40,FR0000121485,true,KERp_EQ,FR0000121485,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
OR.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
LR.PA,cac40,FR0010307819,true,LRp_EQ,FR0010307819,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MC.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
ML.PA,cac40,FR001400AJ45,true,MLp_EQ,FR001400AJ45,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ORA.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
RI.PA,cac40,FR0000120693,true,RIp_EQ,FR0000120693,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
PUB.PA,cac40,FR0000130577,true,PUBp_EQ,FR0000130577,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RNO.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
SAF.PA,cac40,FR0000073272,true,SAFp_EQ,FR0000073272,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SGO.PA,cac40,FR0000125007,true,SGOp_EQ,FR0000125007,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SAN.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
SU.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
GLE.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
STLAP.PA,cac40,NL00150001Q9,true,STLAPp_EQ,NL00150001Q9,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
STMPA.PA,cac40,NL0000226223,true,STMpp_EQ,NL0000226223,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
TEP.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
HO.PA,cac40,FR0000121329,true,HOp_EQ,FR0000121329,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
TTE.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
URW.PA,cac40,FR0013326246,true,URWa_EQ,FR0013326246,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
VIE.PA,cac40,FR0000124141,true,VIEp_EQ,FR0000124141,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DG.PA,cac40,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
