ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ADS.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
ADYEN.AS,euro_stoxx50,NL0012969182,true,ADYENa_EQ,NL0012969182,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
AD.AS,euro_stoxx50,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
AI.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
AIR.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
ALV.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
ABI.BR,euro_stoxx50,BE0974293251,true,ABI_BE_EQ,BE0974293251,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
ARGX.BR,euro_stoxx50,NL0010832176,true,ARGX_BE_EQ,NL0010832176,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
ASML.AS,euro_stoxx50,,true,,,,,Euronext Amsterdam,exchange_allowlist,assumed,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-22
CS.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
BAS.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
BAYN.DE,euro_stoxx50,DE000BAY0017,true,BAYNd_EQ,DE000BAY0017,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BBVA.MC,euro_stoxx50,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
SAN.MC,euro_stoxx50,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
BMW.DE,euro_stoxx50,,true,,,,,Xetra/Frankfurt,exchange_allowlist,assumed,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-22
BNP.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
BN.PA,euro_stoxx50,,true,,,,,Euronext Paris,exchange_allowlist,assumed,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-22
DBK.DE,euro_stoxx50,DE0005140008,true,DBKd_EQ,DE0005140008,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DB1.DE,euro_stoxx50,DE0005810055,true,DB1d_EQ,DE0005810055,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
DHL.DE,euro_stoxx50,DE0005552004,true,DPWd_EQ,DE0005552004,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
