ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ASIT.L,ftse_smallcap,BE0974497290,true,ASIT_BE_EQ,BE0974497290,STOCK,EUR,BE,catalogue_hit,verified,BE,true,online,verified,catalogue_hit,,2026-07-22
AEWU.L,ftse_smallcap,GB00BWD24154,true,AEWUl_EQ,GB00BWD24154,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
APTD.L,ftse_smallcap,GB00BJV2F804,true,APTDl_EQ,GB00BJV2F804,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ATS.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
ROOF.L,ftse_smallcap,GB00BN497V39,true,ROOFl_EQ,GB00BN497V39,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
AUGM.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
BGEU.L,ftse_smallcap,GB00BMC7T380,true,BGEUl_EQ,GB00BMC7T380,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BGS.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CABP.L,ftse_smallcap,GB00BMCYKB41,true,CABPl_EQ,GB00BMCYKB41,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CPI.L,ftse_smallcap,,true,,,,,LSE/AIM,exchange_allowlist,assumed,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-22
CAPD.L,ftse_smallcap,BMG022411000,true,CAPDl_EQ,BMG022411000,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
