ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
0005.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0388.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0939.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
1299.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
1398.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
2318.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
2388.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
2628.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
3968.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
3988.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0002.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0003.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0006.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0836.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
1038.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
2688.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0012.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0016.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0101.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0688.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0823.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
0960.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
1109.HK,hang_seng,,true,,,,,HKEX,exchange_allowlist,assumed,HKEX,true,online,assumed,exchange_allowlist,,2026-07-22
