ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ACS.MC,ibex35,ES0167050915,true,ACSe_EQ,ES0167050915,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ACX.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
AMS.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
ANA.MC,ibex35,ES0125220311,true,ANAe_EQ,ES0125220311,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ANE.MC,ibex35,ES0105563003,true,ANEe_EQ,ES0105563003,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
BBVA.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
BKT.MC,ibex35,ES0113679I37,true,BKTe_EQ,ES0113679I37,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CABK.MC,ibex35,ES0140609019,true,CABKe_EQ,ES0140609019,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CLNX.MC,ibex35,ES0105066007,true,CLNXe_EQ,ES0105066007,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
COL.MC,ibex35,ES0139140174,true,COLe_EQ,ES0139140174,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
AENA.MC,ibex35,ES0105046017,true,AENAe_EQ,ES0105046017,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ELE.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
ENG.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
FDR.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
FER.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
GRF.MC,ibex35,ES0171996087,true,GRFe_EQ,ES0171996087,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
IAG.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
IBE.MC,ibex35,ES0144580Y14,true,IBEe_EQ,ES0144580Y14,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
IDR.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
ITX.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
LOG.MC,ibex35,ES0105027009,true,LOGe_EQ,ES0105027009,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MAP.MC,ibex35,ES0124244E34,true,MAPe_EQ,ES0124244E34,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MRL.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
MTS.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
NTGY.MC,ibex35,ES0116870314,true,NTGYe_EQ,ES0116870314,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
PUIG.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
RED.MC,ibex35,ES0173093024,true,REEe_EQ,ES0173093024,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
REP.MC,ibex35,ES0173516115,true,REPe_EQ,ES0173516115,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ROVI.MC,ibex35,ES0157261019,true,ROVIe_EQ,ES0157261019,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SAB.MC,ibex35,ES0113860A34,true,SABe_EQ,ES0113860A34,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SAN.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
SCYR.MC,ibex35,ES0182870214,true,SCYRe_EQ,ES0182870214,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SLR.MC,ibex35,ES0165386014,true,SLRe_EQ,ES0165386014,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
TEF.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
UNI.MC,ibex35,,true,,,,,Bolsa de Madrid,exchange_allowlist,assumed,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-22
