ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
A5G.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
BIRG.IR,iseq20,IE00BD1RP616,true,BIRG1l_EQ,IE00BD1RP616,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
C5H.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
DQ7A.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
EG7.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
GL9.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
GVR.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
GRP.IR,iseq20,IE00BF2NR112,true,GRPl_EQ,IE00BF2NR112,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HMSO.IR,iseq20,GB00BRJQ8J25,true,HMSOl_EQ,GB00BRJQ8J25,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
IR5B.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
IRES.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
KMR.IR,iseq20,IE00BDC5DG00,true,KMRl_EQ,IE00BDC5DG00,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
KRZ.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
KRX.IR,iseq20,IE0004927939,true,KGP_EQ,IE0004927939,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
MLC.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
MIO.IR,iseq20,ES0105568002,true,MIOe_EQ,ES0105568002,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
OIZ.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
PTSB.IR,iseq20,IE00BWB8X525,true,PTSBl_EQ,IE00BWB8X525,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RYA.IR,iseq20,,true,,,,,Euronext Dublin,exchange_allowlist,assumed,Euronext Dublin,true,online,assumed,exchange_allowlist,,2026-07-22
UPR.IR,iseq20,IE00BJ5FQX74,true,UPR1l_EQ,IE00BJ5FQX74,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
