ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABB.ST,omxs30,US0003752047,true,ABB_US_EQ,US0003752047,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
ADDT-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
ALFA.ST,omxs30,GB00BDHXPG30,true,ALFAl_EQ,GB00BDHXPG30,STOCK,GBX,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ASSA-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
AZN.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
ATCO-A.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
BOL.ST,omxs30,FR0000039299,true,BOLp_EQ,FR0000039299,STOCK,EUR,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
EPI-A.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
EQT.ST,omxs30,US26884L1098,true,EQT_US_EQ,US26884L1098,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
ERIC-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
ESSITY-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
EVO.ST,omxs30,US30050E1055,true,EVTCY_US_EQ,US30050E1055,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
SHB-A.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
HM-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
HEXA-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
INDU-C.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
INVE-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
LIFCO-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
NIBE-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
NDA-SE.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SAAB-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SAND.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SCA-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SEB-A.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SKA-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SKF-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
SWED-A.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
TEL2-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
TELIA.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
VOLV-B.ST,omxs30,,true,,,,,Nasdaq Stockholm,exchange_allowlist,assumed,Nasdaq Stockholm,true,online,assumed,exchange_allowlist,,2026-07-22
