ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ALTR.LS,psi20,PTALT0AE0002,true,ALTR_PT_EQ,PTALT0AE0002,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
BCP.LS,psi20,PTBCP0AM0015,true,BCP_PT_EQ,PTBCP0AM0015,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
COR.LS,psi20,PTCOR0AE0006,true,COR_PT_EQ,PTCOR0AE0006,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
CTT.LS,psi20,PTCTT0AM0001,true,CTT_PT_EQ,PTCTT0AM0001,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
EDPR.LS,psi20,ES0127797019,true,EDPR_PT_EQ,ES0127797019,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
EDP.LS,psi20,PTEDP0AM0009,true,EDP_PT_EQ,PTEDP0AM0009,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
GALP.LS,psi20,PTGAL0AM0009,true,GALP_PT_EQ,PTGAL0AM0009,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
IBS.LS,psi20,PTIBS0AM0008,true,IBS_PT_EQ,PTIBS0AM0008,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
JMT.LS,psi20,PTJMT0AE0001,true,JMT_PT_EQ,PTJMT0AE0001,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
EGL.LS,psi20,PTMEN0AE0005,true,EGL_PT_EQ,PTMEN0AE0005,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
NOS.LS,psi20,PTZON0AM0006,true,NOS_PT_EQ,PTZON0AM0006,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
NBA.LS,psi20,PTNBA0AM0006,true,NBA_PT_EQ,PTNBA0AM0006,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
PHR.LS,psi20,PTPTC0AM0009,true,PHR_PT_EQ,PTPTC0AM0009,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
RENE.LS,psi20,PTREL0AM0008,true,RENE_PT_EQ,PTREL0AM0008,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
SEM.LS,psi20,PTSEM0AM0004,true,SEM_PT_EQ,PTSEM0AM0004,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
SON.LS,psi20,PTSON0AM0001,true,SON_PT_EQ,PTSON0AM0001,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
SONC.LS,psi20,,true,,,,,Euronext Lisbon,exchange_allowlist,assumed,Euronext Lisbon,true,online,assumed,exchange_allowlist,,2026-07-22
NVG.LS,psi20,PTPTI0AM0006,true,NVG_PT_EQ,PTPTI0AM0006,STOCK,EUR,PT,catalogue_hit,verified,PT,true,online,verified,catalogue_hit,,2026-07-22
