ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
NOVN.SW,smi,CH0012005267,true,NOVNs_EQ,CH0012005267,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
RO.SW,smi,,true,,,,,SIX Swiss,exchange_allowlist,assumed,SIX Swiss,true,online,assumed,exchange_allowlist,,2026-07-22
NESN.SW,smi,CH0038863350,true,NESNs_EQ,CH0038863350,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ABBN.SW,smi,CH0012221716,true,ABBNsEQ,CH0012221716,STOCK,CHF,,catalogue_hit,verified,,true,online,verified,catalogue_hit,,2026-07-22
UBSG.SW,smi,CH0244767585,true,UBSGs_EQ,CH0244767585,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
CFR.SW,smi,,true,,,,,SIX Swiss,exchange_allowlist,assumed,SIX Swiss,true,online,assumed,exchange_allowlist,,2026-07-22
ZURN.SW,smi,CH0011075394,true,ZURNs_EQ,CH0011075394,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
HOLN.SW,smi,CH0012214059,true,LHNs_EQ,CH0012214059,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SREN.SW,smi,CH0126881561,true,SRENHs_EQ,CH0126881561,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LONN.SW,smi,CH0013841017,true,LONNs_EQ,CH0013841017,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
SCMN.SW,smi,CH0008742519,true,SCMNs_EQ,CH0008742519,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
GIVN.SW,smi,CH0010645932,true,GIVNs_EQ,CH0010645932,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
ALC.SW,smi,,true,,,,,SIX Swiss,exchange_allowlist,assumed,SIX Swiss,true,online,assumed,exchange_allowlist,,2026-07-22
SIKA.SW,smi,,true,,,,,SIX Swiss,exchange_allowlist,assumed,SIX Swiss,true,online,assumed,exchange_allowlist,,2026-07-22
AMRZ.SW,smi,,true,,,,,SIX Swiss,exchange_allowlist,assumed,SIX Swiss,true,online,assumed,exchange_allowlist,,2026-07-22
SLHN.SW,smi,CH0014852781,true,SLHNs_EQ,CH0014852781,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
KNIN.SW,smi,CH0025238863,true,KNINs_EQ,CH0025238863,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
GEBN.SW,smi,CH0030170408,true,GEBNs_EQ,CH0030170408,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
PGHN.SW,smi,CH0024608827,true,PGHNs_EQ,CH0024608827,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
LOGN.SW,smi,CH0025751329,true,LOGNs_EQ,CH0025751329,STOCK,CHF,EQ,catalogue_hit,verified,EQ,true,online,verified,catalogue_hit,,2026-07-22
