ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
A17U.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
C38U.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
9CI.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
C09.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
D05.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
D01.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
J69U.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
BUOU.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
G13.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
H78.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
J36.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
BN4.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
AJBU.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
ME8U.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
M44U.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
N2IU.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
O39.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
S58.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
5E2.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
U96.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
C6L.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
S68.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
Z74.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
S63.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
Y92.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
U11.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
U14.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
V03.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
F34.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
BS6.SI,sti,,true,,,,,SGX,exchange_allowlist,assumed,SGX,true,online,assumed,exchange_allowlist,,2026-07-22
