ticker,market,isin,tradable_on_t212,t212_ticker,t212_isin,t212_type,t212_currency,t212_exchange,broker_basis,broker_confidence,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
BABA,us_adr_asia,US01609W1027,true,BABA_US_EQ,US01609W1027,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
PDD,us_adr_asia,US7223041028,true,PDD_US_EQ,US7223041028,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
JD,us_adr_asia,US47215P1066,true,JD_US_EQ,US47215P1066,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
BIDU,us_adr_asia,US0567521085,true,BIDU_US_EQ,US0567521085,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
NIO,us_adr_asia,US62914V1061,true,NIO_US_EQ,US62914V1061,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
LI,us_adr_asia,US50202M1027,true,LI_US_EQ,US50202M1027,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
XPEV,us_adr_asia,US98422D1054,true,XPEV_US_EQ,US98422D1054,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
TME,us_adr_asia,US88034P1093,true,TME_US_EQ,US88034P1093,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
TM,us_adr_asia,US8923313071,true,TM_US_EQ,US8923313071,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
SONY,us_adr_asia,US8356993076,true,SNE_US_EQ,US8356993076,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
HMC,us_adr_asia,US4381283088,true,HMC_US_EQ,US4381283088,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
MUFG,us_adr_asia,US6068221042,true,MUFG_US_EQ,US6068221042,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
SMFG,us_adr_asia,US86562M2098,true,SMFG_US_EQ,US86562M2098,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
MFG,us_adr_asia,US60687Y1091,true,MFG_US_EQ,US60687Y1091,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
NMR,us_adr_asia,US65535H2085,true,NMR_US_EQ,US65535H2085,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
TAK,us_adr_asia,US8740602052,true,TAK_US_EQ,US8740602052,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
INFY,us_adr_asia,US4567881085,true,INFY_US_EQ,US4567881085,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
WIT,us_adr_asia,US97651M1099,true,WIT_US_EQ,US97651M1099,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
IBN,us_adr_asia,US45104G1040,true,IBN_US_EQ,US45104G1040,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
HDB,us_adr_asia,US40415F1012,true,HDB_US_EQ,US40415F1012,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
RDY,us_adr_asia,US2561352038,true,RDY_US_EQ,US2561352038,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
TSM,us_adr_asia,US8740391003,true,TSM_US_EQ,US8740391003,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
UMC,us_adr_asia,US9108734057,true,UMC_US_EQ,US9108734057,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
ASX,us_adr_asia,US00215W1009,true,ASX_US_EQ,US00215W1009,STOCK,USD,US,catalogue_hit,verified,US,true,online,verified,catalogue_hit,,2026-07-22
