Schedule of Purchases
 
Shares purchased: 115,089 (ISIN:GB0033195214)
Date of purchases: 27 July 2026 to 31 July 2026
Investment firm: Goldman Sachs International
 
 
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
27/07/2026 XLON 25,000 £3.0402 £3.0690 £3.0170
28/07/2026 XLON 15,089 £3.0280 £3.0490 £2.9820
29/07/2026 XLON 25,000 £3.1238 £3.1430 £3.0940
30/07/2026 XLON 25,000 £3.1187 £3.1380 £3.1030
31/07/2026 XLON 25,000 £3.0807 £3.1100 £3.0630
 
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
27/07/2026 08:45:45 3.0260 XLON 1,274 1490594782259830
27/07/2026 08:48:53 3.0280 XLON 1,125 1490594782260212
27/07/2026 09:20:07 3.0170 XLON 1,353 1490594782264096
27/07/2026 09:56:37 3.0340 XLON 1,245 1490594782267735
27/07/2026 10:33:47 3.0320 XLON 1,262 1490594782271612
27/07/2026 11:08:22 3.0350 XLON 1,127 1490594782274566
27/07/2026 11:39:12 3.0280 XLON 1,132 1490594782276600
27/07/2026 12:17:10 3.0320 XLON 1,172 1490594782280302
27/07/2026 12:48:30 3.0410 XLON 1,131 1490594782282546
27/07/2026 13:29:34 3.0460 XLON 1,212 1490594782286140
27/07/2026 14:00:16 3.0260 XLON 1,186 1490594782289342
27/07/2026 14:22:33 3.0370 XLON 940 1490594782291537
27/07/2026 14:22:33 3.0370 XLON 198 1490594782291538
27/07/2026 14:34:13 3.0320 XLON 1,263 1490594782296537
27/07/2026 14:48:49 3.0370 XLON 1,192 1490594782301097
27/07/2026 15:00:38 3.0360 XLON 25 1490594782303863
27/07/2026 15:00:38 3.0360 XLON 17 1490594782303864
27/07/2026 15:01:54 3.0390 XLON 8 1490594782304239
27/07/2026 15:02:01 3.0390 XLON 976 1490594782304262
27/07/2026 15:02:01 3.0390 XLON 211 1490594782304263
27/07/2026 15:15:40 3.0460 XLON 1,163 1490594782307559
27/07/2026 15:38:12 3.0570 XLON 80 1490594782313589
27/07/2026 15:38:12 3.0570 XLON 1,050 1490594782313590
27/07/2026 15:51:54 3.0560 XLON 1,194 1490594782317149
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
27/07/2026 16:05:24 3.0690 XLON 1,285 1490594782321395
27/07/2026 16:15:50 3.0680 XLON 1,147 1490594782324305
27/07/2026 16:22:53 3.0660 XLON 195 1490594782326180
27/07/2026 16:23:25 3.0660 XLON 837 1490594782326407
28/07/2026 08:43:37 2.9820 XLON 1,200 1491213257552334
28/07/2026 08:44:03 2.9880 XLON 56 1491213257552414
28/07/2026 08:44:30 2.9880 XLON 1,094 1491213257552501
28/07/2026 09:12:35 3.0050 XLON 813 1491213257555453
28/07/2026 09:12:35 3.0050 XLON 322 1491213257555454
28/07/2026 09:47:44 3.0240 XLON 1,147 1491213257559618
28/07/2026 10:13:39 3.0300 XLON 1,118 1491213257562909
28/07/2026 10:53:58 3.0340 XLON 1,235 1491213257568110
28/07/2026 11:28:33 3.0380 XLON 1,207 1491213257572167
28/07/2026 12:04:30 3.0450 XLON 1,124 1491213257577919
28/07/2026 12:40:38 3.0420 XLON 1,127 1491213257585080
28/07/2026 13:15:40 3.0490 XLON 1,138 1491213257592154
28/07/2026 13:43:22 3.0430 XLON 23 1491213257596793
28/07/2026 13:43:22 3.0430 XLON 1,127 1491213257596794
28/07/2026 14:09:40 3.0360 XLON 1,127 1491213257600056
28/07/2026 14:31:32 3.0490 XLON 1,231 1491213257605127
29/07/2026 11:12:34 3.0940 XLON 1,142 1491831732865952
29/07/2026 11:15:22 3.0990 XLON 1,130 1491831732866149
29/07/2026 11:30:22 3.1110 XLON 1,089 1491831732867526
29/07/2026 12:04:55 3.1100 XLON 1,140 1491831732870531
29/07/2026 12:27:14 3.1160 XLON 616 1491831732872447
29/07/2026 12:33:40 3.1160 XLON 480 1491831732873151
29/07/2026 12:58:35 3.1150 XLON 1,315 1491831732875241
29/07/2026 13:26:41 3.1130 XLON 1,129 1491831732879222
29/07/2026 13:46:10 3.1120 XLON 1,134 1491831732881229
29/07/2026 14:08:40 3.1220 XLON 1,124 1491831732884014
29/07/2026 14:26:41 3.1290 XLON 1,126 1491831732886676
29/07/2026 14:37:07 3.1240 XLON 1,176 1491831732893748
29/07/2026 14:46:49 3.1340 XLON 1,165 1491831732898725
29/07/2026 14:56:25 3.1420 XLON 1,290 1491831732901701
29/07/2026 15:09:15 3.1380 XLON 1,233 1491831732905549
29/07/2026 15:21:15 3.1410 XLON 1,095 1491831732909334
29/07/2026 15:32:35 3.1430 XLON 1,242 1491831732912320
29/07/2026 15:43:02 3.1410 XLON 1,091 1491831732916042
29/07/2026 15:55:37 3.1280 XLON 1,160 1491831732920592
29/07/2026 16:06:52 3.1270 XLON 1,143 1491831732924243
29/07/2026 16:15:03 3.1320 XLON 1,230 1491831732926974
29/07/2026 16:23:48 3.1240 XLON 1,198 1491831732930432
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
29/07/2026 16:24:48 3.1210 XLON 302 1491831732930725
29/07/2026 16:25:38 3.1240 XLON 250 1491831732931067
30/07/2026 09:42:44 3.1240 XLON 1,293 1492450208141321
30/07/2026 09:44:45 3.1220 XLON 1,102 1492450208141656
30/07/2026 10:11:45 3.1270 XLON 1,166 1492450208146930
30/07/2026 10:50:00 3.1300 XLON 1,205 1492450208150661
30/07/2026 11:13:04 3.1150 XLON 1,105 1492450208153945
30/07/2026 11:47:53 3.1210 XLON 1,106 1492450208159283
30/07/2026 12:17:49 3.1280 XLON 1,136 1492450208163022
30/07/2026 13:00:00 3.1250 XLON 1,201 1492450208167250
30/07/2026 13:19:55 3.1280 XLON 1,092 1492450208169245
30/07/2026 13:46:17 3.1250 XLON 137 1492450208172894
30/07/2026 13:46:18 3.1250 XLON 1,047 1492450208172896
30/07/2026 14:07:52 3.1380 XLON 1,093 1492450208175550
30/07/2026 14:32:36 3.1230 XLON 1,116 1492450208181548
30/07/2026 14:38:18 3.1180 XLON 1,144 1492450208184617
30/07/2026 14:50:10 3.1150 XLON 395 1492450208189384
30/07/2026 14:50:10 3.1150 XLON 842 1492450208189385
30/07/2026 15:02:34 3.1040 XLON 1,089 1492450208193462
30/07/2026 15:21:45 3.1140 XLON 1,412 1492450208199137
30/07/2026 15:34:10 3.1140 XLON 1,114 1492450208202757
30/07/2026 15:47:35 3.1130 XLON 1,088 1492450208205981
30/07/2026 16:01:21 3.1090 XLON 1,157 1492450208210150
30/07/2026 16:12:27 3.1040 XLON 1,125 1492450208213316
30/07/2026 16:21:27 3.1050 XLON 1,227 1492450208216068
30/07/2026 16:23:41 3.1030 XLON 608 1492450208216939
31/07/2026 09:19:11 3.0820 XLON 1,314 1493068683425321
31/07/2026 09:22:11 3.0820 XLON 1,150 1493068683425495
31/07/2026 09:44:10 3.0700 XLON 1,148 1493068683427256
31/07/2026 10:07:51 3.0700 XLON 438 1493068683429359
31/07/2026 10:07:51 3.0700 XLON 693 1493068683429360
31/07/2026 10:38:24 3.0680 XLON 1,168 1493068683431688
31/07/2026 11:04:46 3.0630 XLON 1,103 1493068683433758
31/07/2026 11:40:20 3.0780 XLON 1,143 1493068683436261
31/07/2026 12:15:31 3.0680 XLON 993 1493068683439240
31/07/2026 12:15:31 3.0680 XLON 148 1493068683439241
