Schedule of Purchases
 
Shares purchased: 124,873 (ISIN:GB0033195214)
Date of purchases: 10 August 2026 to 14 August 2026
Investment firm: Goldman Sachs International
 
 
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
10/08/2026 XLON 25,000 £3.2263 £3.2530 £3.1930
11/08/2026 XLON 25,000 £3.2209 £3.2440 £3.2030
12/08/2026 XLON 25,000 £3.2358 £3.2590 £3.2120
13/08/2026 XLON 25,000 £3.2791 £3.2940 £3.2330
14/08/2026 XLON 24,873 £3.2787 £3.2970 £3.2670
 
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
10/08/2026 09:08:33 3.2430 XLON 1,185 1499253436327425
10/08/2026 09:09:23 3.2470 XLON 1,101 1499253436327531
10/08/2026 09:32:21 3.2470 XLON 1,018 1499253436329380
10/08/2026 09:57:56 3.2400 XLON 1,017 1499253436331607
10/08/2026 10:37:35 3.2470 XLON 2 1499253436334488
10/08/2026 10:37:35 3.2470 XLON 1,019 1499253436334489
10/08/2026 11:04:23 3.2450 XLON 1,207 1499253436336256
10/08/2026 11:32:14 3.2490 XLON 2 1499253436337927
10/08/2026 11:32:51 3.2490 XLON 395 1499253436337939
10/08/2026 11:32:51 3.2490 XLON 634 1499253436337940
10/08/2026 12:02:41 3.2480 XLON 1,021 1499253436340146
10/08/2026 12:45:09 3.2530 XLON 800 1499253436343022
10/08/2026 13:00:45 3.2500 XLON 431 1499253436344003
10/08/2026 13:00:45 3.2500 XLON 700 1499253436344004
10/08/2026 13:27:59 3.2460 XLON 1,050 1499253436346709
10/08/2026 13:51:05 3.2460 XLON 552 1499253436349128
10/08/2026 13:51:11 3.2460 XLON 499 1499253436349130
10/08/2026 14:16:21 3.2390 XLON 1,030 1499253436351614
10/08/2026 14:32:05 3.2190 XLON 1,029 1499253436355021
10/08/2026 14:39:59 3.2130 XLON 1,017 1499253436357548
10/08/2026 14:49:25 3.2090 XLON 1,030 1499253436360450
10/08/2026 15:01:25 3.2060 XLON 1,026 1499253436364595
10/08/2026 15:14:37 3.2000 XLON 1,035 1499253436368309
10/08/2026 15:28:23 3.2000 XLON 1,017 1499253436371779
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
10/08/2026 15:44:46 3.1990 XLON 1,024 1499253436375645
10/08/2026 16:00:06 3.2020 XLON 1,081 1499253436379591
10/08/2026 16:10:24 3.1930 XLON 1,036 1499253436382563
10/08/2026 16:17:55 3.1940 XLON 1,110 1499253436385020
10/08/2026 16:24:32 3.1940 XLON 932 1499253436387692
11/08/2026 09:06:21 3.2030 XLON 1,078 1499871911617646
11/08/2026 09:09:37 3.2030 XLON 1,226 1499871911618049
11/08/2026 09:39:55 3.2030 XLON 598 1499871911620362
11/08/2026 09:48:31 3.2030 XLON 53 1499871911620990
11/08/2026 09:49:21 3.2030 XLON 460 1499871911621053
11/08/2026 10:03:40 3.2070 XLON 517 1499871911621966
11/08/2026 10:03:50 3.2070 XLON 554 1499871911621984
11/08/2026 10:31:52 3.2070 XLON 1,072 1499871911624151
11/08/2026 11:14:55 3.2130 XLON 1,044 1499871911627538
11/08/2026 11:46:07 3.2140 XLON 1,078 1499871911630331
11/08/2026 12:10:38 3.2180 XLON 1,147 1499871911632588
11/08/2026 12:52:19 3.2170 XLON 1,164 1499871911635081
11/08/2026 13:17:53 3.2180 XLON 1,070 1499871911636744
11/08/2026 13:41:07 3.2030 XLON 300 1499871911638330
11/08/2026 13:52:04 3.2080 XLON 286 1499871911639092
11/08/2026 13:52:04 3.2080 XLON 24 1499871911639093
11/08/2026 13:52:05 3.2080 XLON 24 1499871911639095
11/08/2026 13:52:05 3.2080 XLON 24 1499871911639096
11/08/2026 13:52:05 3.2080 XLON 5 1499871911639097
11/08/2026 13:52:05 3.2080 XLON 24 1499871911639098
11/08/2026 13:52:05 3.2080 XLON 5 1499871911639099
11/08/2026 13:52:05 3.2080 XLON 24 1499871911639100
11/08/2026 13:52:05 3.2080 XLON 24 1499871911639101
11/08/2026 13:52:05 3.2080 XLON 5 1499871911639102
11/08/2026 13:52:45 3.2080 XLON 633 1499871911639158
11/08/2026 14:17:51 3.2200 XLON 1,057 1499871911640838
11/08/2026 14:32:34 3.2220 XLON 597 1499871911643395
11/08/2026 14:32:34 3.2220 XLON 534 1499871911643396
11/08/2026 14:39:58 3.2280 XLON 1,058 1499871911645572
11/08/2026 14:53:49 3.2370 XLON 1,242 1499871911649004
11/08/2026 15:06:50 3.2400 XLON 1,069 1499871911651965
11/08/2026 15:23:53 3.2440 XLON 75 1499871911655081
11/08/2026 15:23:53 3.2440 XLON 1,138 1499871911655082
11/08/2026 15:40:14 3.2410 XLON 1,291 1499871911658090
11/08/2026 15:57:29 3.2350 XLON 1,267 1499871911662129
11/08/2026 16:09:39 3.2280 XLON 1,062 1499871911664754
11/08/2026 16:19:38 3.2260 XLON 1,222 1499871911667966
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
11/08/2026 16:25:40 3.2240 XLON 731 1499871911669908
11/08/2026 16:25:40 3.2240 XLON 218 1499871911669909
12/08/2026 08:49:20 3.2320 XLON 1,211 1500490386905631
12/08/2026 08:49:20 3.2300 XLON 1,147 1500490386905636
12/08/2026 09:16:09 3.2360 XLON 1,128 1500490386907914
12/08/2026 09:47:10 3.2350 XLON 1,221 1500490386909650
12/08/2026 10:13:33 3.2430 XLON 1,034 1500490386911493
12/08/2026 10:51:07 3.2480 XLON 1,034 1500490386914010
12/08/2026 11:31:18 3.2510 XLON 1,096 1500490386916626
12/08/2026 12:06:27 3.2470 XLON 1,037 1500490386919597
12/08/2026 12:45:59 3.2470 XLON 1,070 1500490386921721
12/08/2026 13:04:02 3.2510 XLON 1,053 1500490386922692
12/08/2026 13:30:03 3.2590 XLON 1,039 1500490386924506
12/08/2026 14:02:40 3.2390 XLON 201 1500490386927474
12/08/2026 14:03:28 3.2390 XLON 1,050 1500490386927502
12/08/2026 14:32:03 3.2520 XLON 1,075 1500490386930617
12/08/2026 14:38:35 3.2510 XLON 1,184 1500490386932538
12/08/2026 14:48:20 3.2410 XLON 1,105 1500490386934440
12/08/2026 15:02:42 3.2320 XLON 1,142 1500490386936884
12/08/2026 15:17:25 3.2290 XLON 1,044 1500490386939239
12/08/2026 15:28:23 3.2200 XLON 1,067 1500490386941115
12/08/2026 15:43:43 3.2150 XLON 1,038 1500490386944452
12/08/2026 16:00:05 3.2170 XLON 1,151 1500490386947245
12/08/2026 16:11:01 3.2150 XLON 539 1500490386949639
12/08/2026 16:11:01 3.2150 XLON 592 1500490386949640
12/08/2026 16:18:52 3.2120 XLON 1,039 1500490386951139
12/08/2026 16:24:11 3.2170 XLON 703 1500490386952375
13/08/2026 08:48:35 3.2360 XLON 1,257 1501108862196707
13/08/2026 08:50:36 3.2330 XLON 1,179 1501108862196872
13/08/2026 09:14:55 3.2480 XLON 373 1501108862199294
13/08/2026 09:37:10 3.2560 XLON 862 1501108862201193
13/08/2026 09:38:19 3.2560 XLON 552 1501108862201337
13/08/2026 10:03:20 3.2720 XLON 1,042 1501108862203329
13/08/2026 10:36:57 3.2770 XLON 58 1501108862205466
13/08/2026 10:38:37 3.2770 XLON 558 1501108862205509
13/08/2026 10:58:13 3.2910 XLON 1,182 1501108862206626
13/08/2026 11:40:09 3.2860 XLON 1,059 1501108862208871
13/08/2026 12:12:51 3.2810 XLON 1,159 1501108862210955
13/08/2026 12:43:51 3.2850 XLON 1,056 1501108862212677
13/08/2026 13:23:51 3.2890 XLON 1,125 1501108862215332
