Schedule of Purchases
 
Shares purchased: 124,399 (ISIN:GB0033195214)
Date of purchases: 17 August 2026 to 21 August 2026
Investment firm: Goldman Sachs International
 
 
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
17/08/2026 XLON 24,399 £3.2339 £3.2610 £3.2190
18/08/2026 XLON 25,000 £3.2401 £3.2550 £3.2250
19/08/2026 XLON 25,000 £3.2394 £3.2700 £3.2130
20/08/2026 XLON 25,000 £3.2287 £3.2530 £3.2090
21/08/2026 XLON 25,000 £3.2239 £3.2370 £3.2130
 
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
17/08/2026 08:53:25 3.2610 XLON 1,067 1503582763360966
17/08/2026 08:54:26 3.2590 XLON 174 1503582763361049
17/08/2026 08:54:26 3.2590 XLON 32 1503582763361053
17/08/2026 08:54:26 3.2590 XLON 1,175 1503582763361054
17/08/2026 09:18:48 3.2570 XLON 1,061 1503582763363136
17/08/2026 09:54:43 3.2430 XLON 741 1503582763365775
17/08/2026 09:54:43 3.2430 XLON 396 1503582763365776
17/08/2026 10:26:14 3.2450 XLON 501 1503582763368113
17/08/2026 10:27:23 3.2450 XLON 522 1503582763368175
17/08/2026 10:56:44 3.2340 XLON 1,022 1503582763369907
17/08/2026 11:29:36 3.2420 XLON 1,133 1503582763372672
17/08/2026 11:57:09 3.2370 XLON 813 1503582763374508
17/08/2026 11:57:09 3.2370 XLON 204 1503582763374509
17/08/2026 12:29:22 3.2360 XLON 510 1503582763376540
17/08/2026 12:32:44 3.2360 XLON 374 1503582763376777
17/08/2026 12:32:44 3.2360 XLON 133 1503582763376778
17/08/2026 13:06:54 3.2320 XLON 1,128 1503582763379204
17/08/2026 13:32:13 3.2230 XLON 1,046 1503582763381441
17/08/2026 14:01:07 3.2270 XLON 1,041 1503582763384125
17/08/2026 14:19:16 3.2240 XLON 1,025 1503582763385738
17/08/2026 14:33:15 3.2250 XLON 1,031 1503582763388743
17/08/2026 14:43:15 3.2250 XLON 1,042 1503582763391797
17/08/2026 14:53:30 3.2270 XLON 1,084 1503582763393373
17/08/2026 15:07:15 3.2250 XLON 1,016 1503582763395556
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
17/08/2026 15:20:12 3.2260 XLON 1,018 1503582763397483
17/08/2026 15:37:19 3.2280 XLON 1,096 1503582763400969
17/08/2026 15:52:56 3.2210 XLON 1,080 1503582763403992
17/08/2026 16:03:13 3.2280 XLON 947 1503582763405946
17/08/2026 16:03:13 3.2280 XLON 69 1503582763405947
17/08/2026 16:16:04 3.2220 XLON 1,088 1503582763408830
17/08/2026 16:23:39 3.2190 XLON 651 1503582763410623
17/08/2026 16:28:55 3.2190 XLON 103 1503582763412110
17/08/2026 16:29:46 3.2230 XLON 76 1503582763412751
18/08/2026 08:47:26 3.2440 XLON 1,344 1504201238650085
18/08/2026 08:48:24 3.2410 XLON 345 1504201238650154
18/08/2026 08:48:24 3.2410 XLON 798 1504201238650155
18/08/2026 09:13:08 3.2260 XLON 1,174 1504201238652283
18/08/2026 09:48:37 3.2250 XLON 1,055 1504201238654727
18/08/2026 10:18:07 3.2340 XLON 1,234 1504201238656847
18/08/2026 10:53:22 3.2420 XLON 1,031 1504201238658837
18/08/2026 11:25:18 3.2370 XLON 1,060 1504201238661589
18/08/2026 11:59:27 3.2350 XLON 1,142 1504201238663315
18/08/2026 12:37:52 3.2340 XLON 570 1504201238666108
18/08/2026 12:41:31 3.2340 XLON 642 1504201238666288
18/08/2026 13:07:43 3.2420 XLON 1,093 1504201238668535
18/08/2026 13:32:52 3.2470 XLON 1,042 1504201238670724
18/08/2026 14:06:51 3.2390 XLON 1,056 1504201238673644
18/08/2026 14:29:31 3.2330 XLON 1,099 1504201238676241
18/08/2026 14:35:48 3.2360 XLON 557 1504201238679289
18/08/2026 14:38:27 3.2360 XLON 511 1504201238679969
18/08/2026 14:46:56 3.2440 XLON 1,105 1504201238682177
18/08/2026 15:00:49 3.2550 XLON 1,192 1504201238684926
18/08/2026 15:15:27 3.2490 XLON 50 1504201238687387
18/08/2026 15:17:05 3.2490 XLON 671 1504201238687703
