Schedule of Purchases
 
Shares purchased: 124,905 (ISIN:GB0033195214)
Date of purchases: 24 August 2026 to 28 August 2026
Investment firm: Goldman Sachs International
 
 
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
24/08/2026 XLON 24,905 £3.1881 £3.2040 £3.1780
25/08/2026 XLON 25,000 £3.2146 £3.2250 £3.1970
26/08/2026 XLON 25,000 £3.2389 £3.2580 £3.2180
27/08/2026 XLON 25,000 £3.2026 £3.2360 £3.1850
28/08/2026 XLON 25,000 £3.1380 £3.1500 £3.1260
 
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
24/08/2026 09:49:08 3.1870 XLON 48 1507912090396073
24/08/2026 09:49:10 3.1880 XLON 1,303 1507912090396086
24/08/2026 09:49:12 3.1870 XLON 1,048 1507912090396088
24/08/2026 10:17:21 3.1900 XLON 1,088 1507912090397544
24/08/2026 10:53:03 3.1820 XLON 1,090 1507912090399144
24/08/2026 11:26:16 3.1910 XLON 1,066 1507912090400435
24/08/2026 11:52:25 3.1870 XLON 1,101 1507912090401702
24/08/2026 12:23:48 3.1970 XLON 546 1507912090403275
24/08/2026 12:23:48 3.1970 XLON 513 1507912090403276
24/08/2026 12:57:42 3.1940 XLON 601 1507912090405413
24/08/2026 12:57:42 3.1940 XLON 501 1507912090405414
24/08/2026 13:26:25 3.1940 XLON 1 1507912090407199
24/08/2026 13:26:25 3.1940 XLON 1,038 1507912090407203
24/08/2026 13:43:59 3.1910 XLON 775 1507912090409256
24/08/2026 13:43:59 3.1910 XLON 305 1507912090409257
24/08/2026 14:05:46 3.1840 XLON 1,050 1507912090410556
24/08/2026 14:26:32 3.1800 XLON 1,030 1507912090412241
24/08/2026 14:34:52 3.1800 XLON 968 1507912090414851
24/08/2026 14:34:52 3.1800 XLON 76 1507912090414852
24/08/2026 14:42:18 3.1900 XLON 1,032 1507912090416960
24/08/2026 14:53:52 3.2040 XLON 1,038 1507912090419770
24/08/2026 15:03:54 3.2020 XLON 1,006 1507912090421253
24/08/2026 15:03:54 3.2020 XLON 26 1507912090421254
24/08/2026 15:17:21 3.1870 XLON 1,033 1507912090422933
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
24/08/2026 15:30:09 3.1860 XLON 1,030 1507912090424877
24/08/2026 15:45:28 3.1890 XLON 1,043 1507912090427194
24/08/2026 15:57:06 3.1850 XLON 1,095 1507912090429109
24/08/2026 16:05:27 3.1820 XLON 1,027 1507912090431076
24/08/2026 16:16:34 3.1810 XLON 1,062 1507912090432873
24/08/2026 16:23:18 3.1790 XLON 1,079 1507912090434084
24/08/2026 16:25:51 3.1780 XLON 286 1507912090434740
25/08/2026 08:35:26 3.2150 XLON 1,100 1508530565682940
25/08/2026 08:35:26 3.2140 XLON 1,186 1508530565682942
25/08/2026 08:57:13 3.2040 XLON 1,095 1508530565684529
25/08/2026 09:28:49 3.2130 XLON 1,050 1508530565686998
25/08/2026 09:57:52 3.2140 XLON 1,183 1508530565688553
25/08/2026 10:32:46 3.2140 XLON 135 1508530565690763
25/08/2026 10:38:34 3.2180 XLON 922 1508530565691203
25/08/2026 10:38:34 3.2180 XLON 132 1508530565691204
25/08/2026 11:12:15 3.2200 XLON 1,106 1508530565692945
25/08/2026 11:43:52 3.2210 XLON 497 1508530565694664
25/08/2026 11:43:52 3.2210 XLON 497 1508530565694665
25/08/2026 11:43:53 3.2210 XLON 46 1508530565694666
25/08/2026 12:32:33 3.2210 XLON 1,245 1508530565697787
25/08/2026 13:07:01 3.2250 XLON 1,252 1508530565699857
25/08/2026 13:37:46 3.2190 XLON 1,136 1508530565702206
25/08/2026 14:03:12 3.2060 XLON 489 1508530565703568
25/08/2026 14:03:12 3.2060 XLON 476 1508530565703569
25/08/2026 14:27:36 3.2090 XLON 1,059 1508530565704998
25/08/2026 14:35:43 3.2010 XLON 1,050 1508530565707394
25/08/2026 14:44:45 3.2000 XLON 1,133 1508530565709277
25/08/2026 14:55:13 3.1970 XLON 200 1508530565711099
25/08/2026 14:55:16 3.1970 XLON 839 1508530565711113
25/08/2026 15:12:19 3.2130 XLON 1,107 1508530565713887
25/08/2026 15:29:16 3.2180 XLON 1,072 1508530565716017
25/08/2026 15:47:50 3.2230 XLON 436 1508530565719586
25/08/2026 15:47:50 3.2230 XLON 82 1508530565719587
25/08/2026 15:47:50 3.2230 XLON 535 1508530565719588
25/08/2026 15:58:16 3.2210 XLON 1,139 1508530565720954
25/08/2026 16:11:25 3.2220 XLON 1,132 1508530565723209
25/08/2026 16:20:10 3.2210 XLON 1,183 1508530565724968
25/08/2026 16:26:18 3.2160 XLON 395 1508530565726593
25/08/2026 16:27:32 3.2160 XLON 91 1508530565726959
26/08/2026 10:04:16 3.2410 XLON 1,059 1509149040980872
26/08/2026 10:05:04 3.2400 XLON 1,159 1509149040980928
26/08/2026 10:26:37 3.2490 XLON 1,023 1509149040982631
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
26/08/2026 10:59:11 3.2420 XLON 1,031 1509149040985026
26/08/2026 11:34:58 3.2470 XLON 1,225 1509149040987026
26/08/2026 12:16:04 3.2520 XLON 1,199 1509149040989989
26/08/2026 12:45:41 3.2530 XLON 1,092 1509149040991747
26/08/2026 13:08:36 3.2580 XLON 1,024 1509149040993065
26/08/2026 13:29:51 3.2530 XLON 705 1509149040994726
26/08/2026 13:29:51 3.2530 XLON 322 1509149040994727
26/08/2026 13:58:38 3.2540 XLON 1,169 1509149040997558
26/08/2026 14:21:19 3.2550 XLON 1,364 1509149040999698
26/08/2026 14:33:55 3.2380 XLON 403 1509149041002718
26/08/2026 14:33:55 3.2380 XLON 627 1509149041002719
26/08/2026 14:39:47 3.2330 XLON 76 1509149041004330
26/08/2026 14:39:47 3.2330 XLON 949 1509149041004331
26/08/2026 14:51:00 3.2390 XLON 1,069 1509149041007315
26/08/2026 15:00:55 3.2340 XLON 112 1509149041009648
26/08/2026 15:01:57 3.2370 XLON 367 1509149041009894
26/08/2026 15:01:57 3.2370 XLON 678 1509149041009895
26/08/2026 15:14:04 3.2290 XLON 1,036 1509149041012103
26/08/2026 15:25:39 3.2280 XLON 1,039 1509149041014120
26/08/2026 15:37:15 3.2270 XLON 1,068 1509149041016415
26/08/2026 15:48:50 3.2180 XLON 1,038 1509149041018882
26/08/2026 16:03:14 3.2240 XLON 1,254 1509149041022379
26/08/2026 16:12:58 3.2240 XLON 296 1509149041024593
26/08/2026 16:12:58 3.2240 XLON 766 1509149041024594
26/08/2026 16:21:00 3.2220 XLON 1,039 1509149041026166
26/08/2026 16:24:21 3.2210 XLON 706 1509149041027052
26/08/2026 16:29:36 3.2300 XLON 105 1509149041028969
27/08/2026 08:44:25 3.2330 XLON 1,034 1509767516264076
27/08/2026 08:46:23 3.2360 XLON 1,043 1509767516264182
27/08/2026 09:07:15 3.2280 XLON 1,126 1509767516265529
27/08/2026 09:34:09 3.2170 XLON 1,044 1509767516267757
27/08/2026 10:02:17 3.2130 XLON 209 1509767516270888
27/08/2026 10:02:17 3.2130 XLON 675 1509767516270889
27/08/2026 10:02:17 3.2130 XLON 149 1509767516270890
27/08/2026 10:45:06 3.2140 XLON 1,210 1509767516274768
27/08/2026 11:20:36 3.2190 XLON 1,060 1509767516277387
27/08/2026 12:00:38 3.1980 XLON 725 1509767516280373
27/08/2026 12:00:51 3.1980 XLON 359 1509767516280400
27/08/2026 12:33:54 3.1990 XLON 1,154 1509767516282676
27/08/2026 13:05:33 3.1990 XLON 1,027 1509767516284461
27/08/2026 13:36:29 3.1970 XLON 1,151 1509767516286847
27/08/2026 14:05:31 3.1940 XLON 1,045 1509767516288724
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
27/08/2026 14:24:48 3.1850 XLON 1,028 1509767516290249
27/08/2026 14:35:11 3.1950 XLON 1,068 1509767516293548
27/08/2026 14:42:50 3.1850 XLON 1,034 1509767516295181
27/08/2026 14:53:15 3.1900 XLON 1,042 1509767516296998
27/08/2026 15:07:13 3.1900 XLON 1 1509767516299559
27/08/2026 15:09:42 3.1920 XLON 759 1509767516300006
27/08/2026 15:09:42 3.1920 XLON 275 1509767516300007
27/08/2026 15:20:41 3.1930 XLON 1,039 1509767516302192
27/08/2026 15:36:01 3.1950 XLON 1,045 1509767516304747
27/08/2026 15:55:09 3.1960 XLON 1,096 1509767516308362
27/08/2026 16:03:35 3.1960 XLON 1,168 1509767516310046
27/08/2026 16:16:05 3.1930 XLON 71 1509767516312933
27/08/2026 16:16:05 3.1930 XLON 1,266 1509767516312934
27/08/2026 16:23:42 3.1950 XLON 1,097 1509767516314755
28/08/2026 09:53:55 3.1270 XLON 1,288 1510385991559448
28/08/2026 09:54:55 3.1260 XLON 1,142 1510385991559491
28/08/2026 10:16:02 3.1300 XLON 1,049 1510385991561207
28/08/2026 10:48:29 3.1310 XLON 1,041 1510385991562859
28/08/2026 11:07:59 3.1320 XLON 1,062 1510385991564134
28/08/2026 11:44:55 3.1360 XLON 1,060 1510385991565975
