Schedule of Purchases
 
Shares purchased: 120,652 (ISIN:GB0033195214)
Date of purchases: 03 August 2026 to 07 August 2026
Investment firm: Goldman Sachs International
 
 
Aggregate information:
Date of 
purchase
Trading 
venue
Number of 
shares
Volume weighted average 
price paid per share (GBP)
Highest price paid 
per share (GBP)
Lowest price paid 
per share (GBP)
03/08/2026 XLON 25,000 £3.1768 £3.1950 £3.1510
04/08/2026 XLON 20,652 £3.1668 £3.2000 £3.1350
05/08/2026 XLON 25,000 £3.2140 £3.2310 £3.2040
06/08/2026 XLON 25,000 £3.2421 £3.2580 £3.2300
07/08/2026 XLON 25,000 £3.2786 £3.3000 £3.2340
 
Individual transactions:
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
03/08/2026 09:53:32 3.1850 XLON 1,234 1494924109313232
03/08/2026 09:54:50 3.1900 XLON 945 1494924109313334
03/08/2026 10:15:04 3.1790 XLON 1,097 1494924109316264
03/08/2026 10:49:35 3.1870 XLON 1,141 1494924109321317
03/08/2026 11:22:18 3.1750 XLON 1,136 1494924109325360
03/08/2026 11:53:20 3.1840 XLON 1,139 1494924109329526
03/08/2026 12:16:32 3.1760 XLON 1,137 1494924109332164
03/08/2026 12:55:50 3.1750 XLON 1,106 1494924109337267
03/08/2026 13:18:39 3.1800 XLON 1,095 1494924109341003
03/08/2026 13:40:29 3.1740 XLON 1,084 1494924109344573
03/08/2026 14:06:02 3.1710 XLON 1,218 1494924109351326
03/08/2026 14:30:37 3.1770 XLON 1,273 1494924109357262
03/08/2026 14:38:11 3.1860 XLON 1,092 1494924109362221
03/08/2026 14:48:56 3.1920 XLON 136 1494924109367470
03/08/2026 14:48:56 3.1920 XLON 1,122 1494924109367471
03/08/2026 15:04:54 3.1950 XLON 1,118 1494924109372654
03/08/2026 15:17:37 3.1900 XLON 1,135 1494924109376175
03/08/2026 15:27:53 3.1840 XLON 1,132 1494924109378881
03/08/2026 15:42:57 3.1710 XLON 1,231 1494924109384788
03/08/2026 15:58:11 3.1550 XLON 1,144 1494924109389965
03/08/2026 16:10:06 3.1560 XLON 1,100 1494924109393876
03/08/2026 16:18:39 3.1510 XLON 1,168 1494924109397830
03/08/2026 16:23:38 3.1550 XLON 1,017 1494924109399842
04/08/2026 08:29:46 3.1530 XLON 1,194 1495542584583759
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
04/08/2026 08:31:09 3.1510 XLON 1,197 1495542584584128
04/08/2026 08:53:36 3.1650 XLON 1,077 1495542584587013
04/08/2026 09:27:40 3.1510 XLON 1,076 1495542584593190
04/08/2026 09:54:20 3.1350 XLON 1,102 1495542584598339
04/08/2026 10:28:13 3.1410 XLON 1 1495542584602222
04/08/2026 10:28:15 3.1410 XLON 1,079 1495542584602225
04/08/2026 11:00:10 3.1550 XLON 1,069 1495542584606935
04/08/2026 11:36:43 3.1600 XLON 1,084 1495542584613003
04/08/2026 12:10:07 3.1660 XLON 1,138 1495542584618558
04/08/2026 12:48:15 3.1780 XLON 1,106 1495542584624294
04/08/2026 13:21:34 3.1680 XLON 757 1495542584631218
04/08/2026 13:44:10 3.1660 XLON 1,073 1495542584635804
04/08/2026 14:01:29 3.1690 XLON 1,130 1495542584637402
04/08/2026 14:28:42 3.1780 XLON 1,088 1495542584642388
04/08/2026 14:37:03 3.1720 XLON 1,150 1495542584646984
04/08/2026 14:49:09 3.1730 XLON 1,081 1495542584650725
04/08/2026 15:02:03 3.1930 XLON 1,071 1495542584654775
04/08/2026 15:32:03 3.1990 XLON 591 1495542584664127
04/08/2026 15:32:03 3.1990 XLON 521 1495542584664128
04/08/2026 15:33:43 3.2000 XLON 542 1495542584664612
04/08/2026 15:33:43 3.2000 XLON 525 1495542584664613
05/08/2026 08:47:40 3.2180 XLON 1,360 1496161059877332
05/08/2026 08:51:29 3.2260 XLON 1,065 1496161059877795
05/08/2026 09:13:32 3.2110 XLON 1,048 1496161059880205
05/08/2026 09:47:02 3.2080 XLON 1,140 1496161059884076
05/08/2026 10:15:21 3.2040 XLON 1,115 1496161059887333
05/08/2026 10:49:20 3.2050 XLON 1,050 1496161059890704
05/08/2026 11:25:58 3.2120 XLON 1,158 1496161059894638
05/08/2026 12:01:14 3.2140 XLON 1,099 1496161059898994
05/08/2026 12:36:57 3.2120 XLON 1,106 1496161059902596
05/08/2026 13:03:33 3.2140 XLON 1,117 1496161059906409
05/08/2026 13:29:40 3.2080 XLON 1,066 1496161059925085
05/08/2026 14:00:40 3.2150 XLON 1,071 1496161059932878
05/08/2026 14:26:07 3.2150 XLON 1,154 1496161059936766
05/08/2026 14:35:05 3.2110 XLON 1,090 1496161059942612
05/08/2026 14:44:44 3.2080 XLON 104 1496161059946768
05/08/2026 14:47:36 3.2100 XLON 1,210 1496161059947873
05/08/2026 15:00:00 3.2040 XLON 1,045 1496161059951650
05/08/2026 15:17:01 3.2080 XLON 1,214 1496161059956898
05/08/2026 15:35:12 3.2150 XLON 424 1496161059961548
05/08/2026 15:39:37 3.2210 XLON 1,088 1496161059962468
05/08/2026 15:53:42 3.2310 XLON 1,076 1496161059966474
Transaction date Time (BST) Price (GBP) Trading venue Quantity Transaction reference number
05/08/2026 16:09:06 3.2220 XLON 1,073 1496161059971652
05/08/2026 16:17:05 3.2190 XLON 1,052 1496161059974828
05/08/2026 16:23:40 3.2200 XLON 1,075 1496161059977498
06/08/2026 09:11:33 3.2320 XLON 1,244 1496779535172290
