Date of transaction Time of transaction 
(UK Time)
Number of ordinary shares 
purchased
Transaction Price 
(GBp share) Trading venue Transaction reference 
number
05/05/2026 08:00:26 918 332.20 XLON 00193200993TRLO0-1
05/05/2026 08:02:01 217 330.20 XLON 00193202126TRLO0-1
05/05/2026 08:02:01 781 330.20 XLON 00193202125TRLO0-1
05/05/2026 08:02:05 1,031 325.40 XLON 00193202142TRLO0-1
05/05/2026 08:03:37 409 326.20 XLON 00193202756TRLO0-1
05/05/2026 08:04:24 528 326.20 XLON 00193202960TRLO0-1
05/05/2026 08:04:29 1,003 327.60 XLON 00193202985TRLO0-1
05/05/2026 08:07:39 1,036 328.40 XLON 00193204059TRLO0-1
05/05/2026 08:07:41 878 329.00 XLON 00193204074TRLO0-1
05/05/2026 08:09:53 1,000 329.20 XLON 00193204754TRLO0-1
05/05/2026 08:11:04 276 330.20 XLON 00193205177TRLO0-1
05/05/2026 08:11:04 619 330.20 XLON 00193205176TRLO0-1
05/05/2026 08:13:47 874 330.40 XLON 00193205857TRLO0-1
05/05/2026 08:13:52 959 330.00 XLON 00193205906TRLO0-1
05/05/2026 08:15:09 1,012 330.00 XLON 00193206369TRLO0-1
05/05/2026 08:15:39 38 329.20 XLON 00193206490TRLO0-1
05/05/2026 08:15:50 1,001 329.80 XLON 00193206535TRLO0-1
05/05/2026 08:16:40 890 329.60 XLON 00193206716TRLO0-1
05/05/2026 08:16:55 897 328.40 XLON 00193206783TRLO0-1
05/05/2026 08:16:55 42 328.40 XLON 00193206782TRLO0-1
05/05/2026 08:17:34 35 328.40 XLON 00193207109TRLO0-1
05/05/2026 08:18:08 38 328.40 XLON 00193207286TRLO0-1
05/05/2026 08:18:17 45 328.40 XLON 00193207320TRLO0-1
05/05/2026 08:18:29 39 328.40 XLON 00193207356TRLO0-1
05/05/2026 08:18:40 39 328.40 XLON 00193207421TRLO0-1
05/05/2026 08:18:51 37 328.40 XLON 00193207473TRLO0-1
05/05/2026 08:19:20 53 328.40 XLON 00193207603TRLO0-1
05/05/2026 08:19:20 679 328.40 XLON 00193207604TRLO0-1
05/05/2026 08:21:00 963 329.20 XLON 00193207954TRLO0-1
05/05/2026 08:23:12 38 328.80 XLON 00193208435TRLO0-1
05/05/2026 08:24:16 50 329.20 XLON 00193208570TRLO0-1
05/05/2026 08:24:38 833 329.20 XLON 00193208620TRLO0-1
05/05/2026 08:26:12 37 329.00 XLON 00193208865TRLO0-1
05/05/2026 08:27:54 898 329.40 XLON 00193209162TRLO0-1
05/05/2026 08:28:01 37 329.00 XLON 00193209191TRLO0-1
05/05/2026 08:28:21 919 329.00 XLON 00193209230TRLO0-1
05/05/2026 08:33:38 894 330.60 XLON 00193210375TRLO0-1
05/05/2026 08:36:25 870 331.60 XLON 00193211123TRLO0-1
05/05/2026 08:39:04 1,037 332.20 XLON 00193211864TRLO0-1
05/05/2026 08:41:15 943 331.80 XLON 00193212411TRLO0-1
05/05/2026 08:43:33 947 331.00 XLON 00193212781TRLO0-1
05/05/2026 08:45:33 460 330.00 XLON 00193213088TRLO0-1
05/05/2026 08:45:33 412 330.00 XLON 00193213089TRLO0-1
05/05/2026 08:47:18 616 329.20 XLON 00193213406TRLO0-1
05/05/2026 08:47:18 420 329.20 XLON 00193213407TRLO0-1
