Date of transaction

Time of transaction

Number of ordinary shares

Transaction Price

Trading venue

Transaction reference

(UK Time) purchased (GBp share) number
30/03/2026 14:34:33 20,000 338.10 XLON 00191566987TRLOO-1
30/03/2026 14:38:45 9,554 336.95 XLON 00191568108TRLOO-1
31/03/2026 08:11:34 10,000 337.50 XLON 00191602187TRLOO-1
31/03/2026 11:05:43 10,000 336.55 XLON 00191624435TRLOO-1
31/03/2026 12:15:39 5,000 336.00 XLON 00191631459TRLOO-1
31/03/2026 13:31:08 4,623 337.55 XLON 00191638775TRLOO-1
01/04/2026 08:56:59 5,000 323.60 XLON 00191690024TRLOO-1
01/04/2026 11:04:19 10,000 330.10 XLON 00191709312TRLOO-1
01/04/2026 11:29:10 5,000 327.20 XLON 00191711947TRLOO-1
01/04/2026 13:59:01 5,000 328.20 XLON 00191727999TRLOO-1
01/04/2026 14:37:19 5,000 329.20 XLON 00191735047TRLOO-1
01/04/2026 14:40:33 477 329.10 XLON 00191736000TRLOO-1
02/04/2026 10:10:46 10,000 326.40 XLON 00191789064TRLOO-1
02/04/2026 11:32:27 10,000 325.70 XLON 00191796705TRLOO-1
02/04/2026 14:11:26 10,704 324.10 XLON 00191809593TRLOO-1
