Date of transaction Time of transaction 
(UK Time)
Number of ordinary shares 
purchased
Transaction Price 
(GBp share) Trading venue Transaction reference 
number
27/04/2026 08:01:01 970 337.00 XLON 00192895050TRLO0-1
27/04/2026 08:01:16 988 337.00 XLON 00192895165TRLO0-1
27/04/2026 08:02:30 993 337.60 XLON 00192895510TRLO0-1
27/04/2026 08:08:46 64 338.00 XLON 00192896735TRLO0-1
27/04/2026 08:09:27 951 338.00 XLON 00192896855TRLO0-1
27/04/2026 08:15:02 849 337.40 XLON 00192897778TRLO0-1
27/04/2026 08:16:05 867 338.00 XLON 00192897881TRLO0-1
27/04/2026 08:16:11 867 337.60 XLON 00192897891TRLO0-1
27/04/2026 08:18:50 715 338.20 XLON 00192898117TRLO0-1
27/04/2026 08:18:50 153 338.20 XLON 00192898118TRLO0-1
27/04/2026 08:26:59 896 337.40 XLON 00192898942TRLO0-1
27/04/2026 08:28:03 996 336.80 XLON 00192899069TRLO0-1
27/04/2026 08:29:04 1,018 336.20 XLON 00192899202TRLO0-1
27/04/2026 08:30:40 890 336.20 XLON 00192899530TRLO0-1
27/04/2026 08:31:30 845 336.40 XLON 00192899691TRLO0-1
27/04/2026 08:38:51 893 336.00 XLON 00192900670TRLO0-1
27/04/2026 08:52:03 467 336.40 XLON 00192902075TRLO0-1
27/04/2026 08:52:03 530 336.40 XLON 00192902076TRLO0-1
27/04/2026 08:58:42 939 336.40 XLON 00192902523TRLO0-1
27/04/2026 09:02:35 735 336.00 XLON 00192902880TRLO0-1
27/04/2026 09:02:35 271 336.00 XLON 00192902881TRLO0-1
27/04/2026 09:04:20 234 335.80 XLON 00192903023TRLO0-1
27/04/2026 09:04:20 674 335.80 XLON 00192903022TRLO0-1
27/04/2026 09:06:36 851 335.60 XLON 00192903204TRLO0-1
27/04/2026 09:11:02 89 335.20 XLON 00192903561TRLO0-1
27/04/2026 09:11:02 872 335.20 XLON 00192903560TRLO0-1
27/04/2026 09:13:30 751 335.00 XLON 00192903825TRLO0-1
27/04/2026 09:13:30 108 335.00 XLON 00192903826TRLO0-1
27/04/2026 09:16:44 852 334.40 XLON 00192904035TRLO0-1
27/04/2026 09:19:27 846 335.60 XLON 00192904275TRLO0-1
27/04/2026 09:30:01 65 336.20 XLON 00192904996TRLO0-1
27/04/2026 09:30:58 915 336.40 XLON 00192905100TRLO0-1
27/04/2026 09:43:34 858 337.00 XLON 00192906663TRLO0-1
27/04/2026 09:45:38 158 336.80 XLON 00192906810TRLO0-1
27/04/2026 09:45:38 784 336.80 XLON 00192906809TRLO0-1
27/04/2026 09:50:34 686 336.80 XLON 00192907207TRLO0-1
27/04/2026 09:50:35 173 337.00 XLON 00192907209TRLO0-1
27/04/2026 09:51:42 800 337.00 XLON 00192907305TRLO0-1
27/04/2026 09:52:04 234 337.00 XLON 00192907323TRLO0-1
27/04/2026 09:52:04 78 337.00 XLON 00192907324TRLO0-1
27/04/2026 09:52:05 638 337.00 XLON 00192907326TRLO0-1
27/04/2026 09:57:56 533 337.00 XLON 00192907663TRLO0-1
27/04/2026 09:57:56 464 337.00 XLON 00192907664TRLO0-1
27/04/2026 10:00:05 898 336.40 XLON 00192907799TRLO0-1
27/04/2026 10:00:11 42 336.20 XLON 00192907816TRLO0-1
27/04/2026 12:22:00 1,210 334.80 XLON 00192917453TRLO0-1
