Smith & Nephew plc
Date of transaction: 29 November 2016
29-Nov-2016 15:04:09 GMT 488 1122.0000 GBp XLON
29-Nov-2016 15:04:09 GMT 200 1122.0000 GBp XLON
29-Nov-2016 15:04:09 GMT 169 1122.0000 GBp XLON
29-Nov-2016 15:04:09 GMT 171 1122.0000 GBp XLON
29-Nov-2016 15:04:09 GMT 400 1122.0000 GBp XLON
29-Nov-2016 10:43:51 GMT 100 1116.0000 GBp XLON
29-Nov-2016 10:43:51 GMT 286 1116.0000 GBp XLON
29-Nov-2016 10:43:51 GMT 287 1116.0000 GBp XLON
29-Nov-2016 11:52:18 GMT 351 1118.0000 GBp XLON
29-Nov-2016 11:52:18 GMT 694 1118.0000 GBp XLON
29-Nov-2016 10:35:14 GMT 1490 1116.0000 GBp XLON
29-Nov-2016 15:04:09 GMT 800 1122.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 83 1123.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 385 1123.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 941 1123.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 170 1123.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 328 1123.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 800 1124.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 452 1124.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 175 1124.0000 GBp XLON
29-Nov-2016 15:14:15 GMT 750 1123.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 200 1124.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 163 1124.0000 GBp XLON
29-Nov-2016 16:27:35 GMT 400 1124.0000 GBp XLON
29-Nov-2016 10:43:51 GMT 1163 1116.0000 GBp XLON
29-Nov-2016 13:44:00 GMT 966 1120.0000 GBp XLON
29-Nov-2016 12:05:31 GMT 816 1119.0000 GBp XLON
29-Nov-2016 11:12:44 GMT 750 1117.0000 GBp XLON
29-Nov-2016 11:12:44 GMT 127 1117.0000 GBp XLON
29-Nov-2016 11:12:44 GMT 90 1117.0000 GBp XLON
29-Nov-2016 12:09:39 GMT 750 1119.0000 GBp XLON
29-Nov-2016 12:09:39 GMT 225 1119.0000 GBp XLON
29-Nov-2016 12:09:39 GMT 281 1119.0000 GBp XLON
29-Nov-2016 13:36:30 GMT 154 1121.0000 GBp XLON
29-Nov-2016 13:36:30 GMT 1662 1121.0000 GBp XLON
29-Nov-2016 15:06:48 GMT 320 1122.0000 GBp XLON
29-Nov-2016 15:06:48 GMT 840 1122.0000 GBp XLON
29-Nov-2016 14:30:33 GMT 268 1120.0000 GBp XLON
29-Nov-2016 14:30:33 GMT 386 1120.0000 GBp XLON
29-Nov-2016 14:32:29 GMT 1818 1120.0000 GBp XLON
29-Nov-2016 14:30:33 GMT 947 1120.0000 GBp XLON
29-Nov-2016 14:30:33 GMT 286 1120.0000 GBp XLON
29-Nov-2016 14:32:29 GMT 206 1120.0000 GBp XLON
29-Nov-2016 09:52:35 GMT 855 1120.0000 GBp XLON
29-Nov-2016 09:16:19 GMT 127 1119.0000 GBp XLON
29-Nov-2016 11:57:11 GMT 175 1118.0000 GBp XLON
29-Nov-2016 11:57:11 GMT 984 1118.0000 GBp XLON
29-Nov-2016 12:16:15 GMT 750 1122.0000 GBp XLON
29-Nov-2016 13:25:09 GMT 1713 1121.0000 GBp XLON
29-Nov-2016 12:14:15 GMT 1063 1118.0000 GBp XLON
29-Nov-2016 13:25:09 GMT 155 1121.0000 GBp XLON
29-Nov-2016 15:23:54 GMT 281 1122.0000 GBp XLON
29-Nov-2016 15:23:54 GMT 400 1122.0000 GBp XLON
29-Nov-2016 15:23:54 GMT 96 1122.0000 GBp XLON
29-Nov-2016 15:23:54 GMT 1215 1122.0000 GBp XLON
29-Nov-2016 12:18:58 GMT 270 1121.0000 GBp XLON
29-Nov-2016 12:18:58 GMT 697 1121.0000 GBp XLON
Currenc
y
Platfor
m Code
Transaction Date and 
Time
Time 
Zone Volume Price
29-Nov-2016 09:48:53 GMT 300 1120.0000 GBp XLON
29-Nov-2016 09:48:53 GMT 683 1120.0000 GBp XLON
29-Nov-2016 09:48:53 GMT 136 1120.0000 GBp XLON
29-Nov-2016 10:10:31 GMT 286 1117.0000 GBp XLON
29-Nov-2016 10:10:31 GMT 587 1117.0000 GBp XLON
29-Nov-2016 10:10:31 GMT 286 1117.0000 GBp XLON
29-Nov-2016 09:44:40 GMT 748 1118.0000 GBp XLON
29-Nov-2016 09:44:40 GMT 218 1118.0000 GBp XLON
29-Nov-2016 15:32:19 GMT 1341 1123.0000 GBp XLON
29-Nov-2016 14:05:28 GMT 142 1120.0000 GBp XLON
29-Nov-2016 14:05:28 GMT 245 1120.0000 GBp XLON
29-Nov-2016 10:35:48 GMT 286 1116.0000 GBp XLON
29-Nov-2016 14:05:28 GMT 402 1120.0000 GBp XLON
29-Nov-2016 10:35:48 GMT 286 1116.0000 GBp XLON
29-Nov-2016 14:05:28 GMT 286 1120.0000 GBp XLON
29-Nov-2016 11:40:30 GMT 334 1118.0000 GBp XLON
29-Nov-2016 11:40:30 GMT 262 1118.0000 GBp XLON
29-Nov-2016 11:40:30 GMT 800 1118.0000 GBp XLON
29-Nov-2016 12:24:50 GMT 1063 1121.0000 GBp XLON
29-Nov-2016 09:37:11 GMT 800 1120.0000 GBp XLON
29-Nov-2016 09:37:11 GMT 287 1120.0000 GBp XLON
29-Nov-2016 15:11:12 GMT 1569 1122.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 104 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 886 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 976 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 977 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 977 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 982 1123.0000 GBp XLON
29-Nov-2016 15:51:37 GMT 976 1123.0000 GBp XLON
