run_at,ticker,signal,signal_rank,conviction_score,data_quality_score
2026-08-02T12:34:17.581768+00:00,3IN.L,hold,2,0.1645,0.8
2026-08-02T12:34:17.581768+00:00,AAF.L,hold,2,0.2413,1.0
2026-08-02T12:34:17.581768+00:00,AAL.L,avoid,1,0.0576,0.95
2026-08-02T12:34:17.581768+00:00,ABDN.L,buy,3,0.3041,0.9
2026-08-02T12:34:17.581768+00:00,ABF.L,buy,3,0.3075,1.0
2026-08-02T12:34:17.581768+00:00,ADM.L,hold,2,0.1731,0.95
2026-08-02T12:34:17.581768+00:00,AEP.L,strong_buy,4,0.4869,1.0
2026-08-02T12:34:17.581768+00:00,AJB.L,hold,2,0.1295,0.9
2026-08-02T12:34:17.581768+00:00,ALFA.L,buy,3,0.3743,1.0
2026-08-02T12:34:17.581768+00:00,AML.L,avoid,1,0.0,0.9
2026-08-02T12:34:17.581768+00:00,ANTO.L,hold,2,0.1437,1.0
2026-08-02T12:34:17.581768+00:00,AO.L,hold,2,0.1738,0.95
2026-08-02T12:34:17.581768+00:00,APN.L,hold,2,0.0798,0.95
2026-08-02T12:34:17.581768+00:00,ASHM.L,buy,3,0.3619,1.0
2026-08-02T12:34:17.581768+00:00,ATYM.L,hold,2,0.2818,1.0
2026-08-02T12:34:17.581768+00:00,AUTO.L,hold,2,0.2632,1.0
2026-08-02T12:34:17.581768+00:00,AV.L,hold,2,0.1311,0.95
2026-08-02T12:34:17.581768+00:00,AVON.L,hold,2,0.1215,1.0
2026-08-02T12:34:17.581768+00:00,AZN.L,avoid,1,0.101,1.0
2026-08-02T12:34:17.581768+00:00,BA.L,hold,2,0.1708,1.0
2026-08-02T12:34:17.581768+00:00,BAB.L,avoid,1,0.0333,1.0
2026-08-02T12:34:17.581768+00:00,BAG.L,hold,2,0.3308,1.0
2026-08-02T12:34:17.581768+00:00,BARC.L,hold,2,0.1363,0.7
2026-08-02T12:34:17.581768+00:00,BATS.L,hold,2,0.299,1.0
2026-08-02T12:34:17.581768+00:00,BBY.L,hold,2,0.341,1.0
2026-08-02T12:34:17.581768+00:00,BCG.L,hold,2,0.2152,1.0
2026-08-02T12:34:17.581768+00:00,BEZ.L,hold,2,0.1994,0.95
2026-08-02T12:34:17.581768+00:00,BGEO.L,hold,2,0.2578,0.65
2026-08-02T12:34:17.581768+00:00,BHMG.L,hold,2,0.0475,0.75
2026-08-02T12:34:17.581768+00:00,BKG.L,buy,3,0.2949,0.9
2026-08-02T12:34:17.581768+00:00,BLND.L,hold,2,0.2,0.95
2026-08-02T12:34:17.581768+00:00,BME.L,buy,3,0.4278,1.0
2026-08-02T12:34:17.581768+00:00,BMY.L,hold,2,0.2785,1.0
2026-08-02T12:34:17.581768+00:00,BNZL.L,hold,2,0.1779,1.0
2026-08-02T12:34:17.581768+00:00,BOWL.L,buy,3,0.3516,1.0
2026-08-02T12:34:17.581768+00:00,BOY.L,buy,3,0.3248,1.0
2026-08-02T12:34:17.581768+00:00,BP.L,hold,2,0.2809,1.0
2026-08-02T12:34:17.581768+00:00,BPT.L,hold,2,0.1123,1.0
2026-08-02T12:34:17.581768+00:00,BRBY.L,avoid,1,0.0512,0.95
2026-08-02T12:34:17.581768+00:00,BREE.L,strong_buy,4,0.3969,1.0
2026-08-02T12:34:17.581768+00:00,BT-A.L,buy,3,0.3793,1.0
2026-08-02T12:34:17.581768+00:00,BTRW.L,buy,3,0.3057,1.0
2026-08-02T12:34:17.581768+00:00,BWY.L,buy,3,0.2583,0.9
2026-08-02T12:34:17.581768+00:00,BYIT.L,buy,3,0.3792,1.0
2026-08-02T12:34:17.581768+00:00,CBG.L,hold,2,0.0,0.55
2026-08-02T12:34:17.581768+00:00,CCC.L,hold,2,0.1736,1.0
2026-08-02T12:34:17.581768+00:00,CCEP.L,hold,2,0.1429,1.0
2026-08-02T12:34:17.581768+00:00,CCH.L,hold,2,0.1578,1.0
2026-08-02T12:34:17.581768+00:00,CHG.L,avoid,1,0.0609,1.0
2026-08-02T12:34:17.581768+00:00,CKN.L,hold,2,0.2497,1.0
2026-08-02T12:34:17.581768+00:00,CMCX.L,hold,2,0.1087,0.9
2026-08-02T12:34:17.581768+00:00,CNA.L,buy,3,0.3407,1.0
2026-08-02T12:34:17.581768+00:00,COA.L,hold,2,0.2273,1.0
2026-08-02T12:34:17.581768+00:00,COST.L,buy,3,0.4217,1.0
2026-08-02T12:34:17.581768+00:00,CPG.L,hold,2,0.1227,1.0
2026-08-02T12:34:17.581768+00:00,CRDA.L,hold,2,0.1352,1.0
2026-08-02T12:34:17.581768+00:00,CSN.L,hold,2,0.0769,0.9
2026-08-02T12:34:17.581768+00:00,CTEC.L,avoid,1,0.1646,1.0
2026-08-02T12:34:17.581768+00:00,CURY.L,buy,3,0.4077,1.0
2026-08-02T12:34:17.581768+00:00,CVSG.L,avoid,1,0.0333,0.85
2026-08-02T12:34:17.581768+00:00,CWK.L,hold,2,0.2532,1.0
2026-08-02T12:34:17.581768+00:00,CWR.L,avoid,1,0.0371,0.9
2026-08-02T12:34:17.581768+00:00,DATA.L,buy,3,0.3961,1.0
2026-08-02T12:34:17.581768+00:00,DCC.L,hold,2,0.2228,1.0
